"","Find","id","year_behav","Group","sdb.ra","vig.ra","sex","age","rank","rank2","rc","outdeg.grm","indeg.grm","eigen.pr","betw.pr","outdeg.agg","indeg.agg","Wdeg.pr","Windeg.agg"
"1556","55J|2017","55J",2017,"KK",6.46,219.55,"Female",18.59726027,NA,8.62068965517241,0.447788232043853,0,1.971,0.003300359,0.006,0,0,66.84785179,36.28382711
"1557","5H4|2017","5H4",2017,"KK",18.61,199.41,"Female",8.767123288,NA,100,0.815663989256687,7.366,7.366,0.039380915,0.011,0.018,0,336.6288745,0
"1558","5P4|2017","5P4",2017,"KK",18.62,155.17,"Male",4.553424658,NA,NA,NA,NA,NA,0.00952381,NA,NA,NA,0,NA
"1559","7I8|2017","7I8",2017,"KK",29.3,195.35,"Female",7.78630137,NA,41.3793103448276,0.486903893903181,7.299,1.633,0.012380791,0.027,0.009,0,172.385553,140.450329
"1560","9Q5|2017","9Q5",2017,"KK",7.62,171.43,"Female",3.797260274,NA,51.7241379310345,0.438440758261923,NA,NA,0.001299694,NA,NA,NA,18.6363708,33.19291464
"1561","1R1|2017","1R1",2017,"KK",36.73,134.69,"Female",3.863013699,NA,13.7931034482759,0.439168618096811,NA,NA,0.000796317,NA,NA,NA,15.69911671,37.21201804
"1562","2C4|2017","2C4",2017,"KK",19.87,147.02,"Female",11.61369863,NA,67.2413793103448,0.542359621514145,0,2.632,0.012589299,0.011,0.008,0.008,210.6018639,95.49943005
"1563","3Q3|2017","3Q3",2017,"KK",23.95,202.22,"Female",3.824657534,NA,55.1724137931034,0.491379310344828,NA,NA,0.003643667,NA,NA,NA,46.40677314,17.72000859
"1564","46Z|2017","46Z",2017,"KK",10.61,126.09,"Male",12.47123288,NA,80,0.614058879505788,2.489,2.803,0.00465052,0.013,0.017,0,102.8367779,87.90298257
"1565","49V|2017","49V",2017,"KK",8.41,197.55,"Female",13.59178082,NA,51.1627907,0.522276622,8.204,2.764,0.01304484,0.024,0,0,199.4691096,NA
"1566","4Q4|2017","4Q4",2017,"KK",20.35,142.47,"Female",3.77260274,NA,98.2758620689655,0.491379310344828,NA,NA,0.000531503,NA,NA,NA,8.102769914,0
"1567","4R7|2017","4R7",2017,"KK",27.66,256.86,"Male",3.753424658,NA,96.6666666666667,0.483333333333333,NA,NA,0.002558046,NA,NA,NA,57.52966639,16.24334121
"1568","5K0|2017","5K0",2017,"KK",11.44,137.97,"Male",6.64109589,NA,13.3333333333333,0.386994072466118,NA,NA,0.00952381,NA,NA,NA,0,84.74786717
"1569","5Q7|2017","5Q7",2017,"KK",23.53,211.76,"Female",3.84109589,NA,NA,NA,NA,NA,0.003821289,NA,NA,NA,67.58446724,NA
"1570","6D9|2017","6D9",2017,"KK",7.56,143.55,"Female",10.62465753,NA,56.8965517241379,0.451532704631222,5.444,1.109,0.011552458,0.018,0,0.017,170.7106298,151.5599176
"1571","7Q3|2017","7Q3",2017,"KK",19.62,205.99,"Female",3.819178082,NA,NA,NA,NA,NA,0.004867149,NA,NA,NA,76.23969873,NA
"1572","9N6|2017","9N6",2017,"KK",28.44,288.49,"Female",5.646575342,NA,17.2413793103448,0.47739018693602,NA,NA,0.007997779,NA,NA,NA,62.12123601,52.46296539
"1573","2C3|2017","2C3",2017,"KK",7.81,109.33,"Female",11.60273973,NA,81.0344827586207,0.609790551449664,0,0,0.011397587,0.029,0.009,0.008,166.4830606,56.12469046
"1574","2R9|2017","2R9",2017,"KK",33.45,246.69,"Female",3.684931507,NA,25.8620689655172,0.4018434840028,NA,NA,0.00952381,NA,NA,NA,0,67.79829373
"1575","3R9|2017","3R9",2017,"KK",36,206.18,"Female",3.756164384,NA,75.8620689655172,0.491379310344828,NA,NA,0.001294564,NA,NA,NA,35.11200296,0
"1576","1S5|2017","1S5",2017,"KK",6.16,172.6,"Male",3.863013699,NA,NA,NA,NA,NA,0.00952381,NA,NA,NA,0,NA
"1577","2R0|2017","2R0",2017,"KK",2.14,143.23,"Male",3.843835616,NA,43.3333333333333,0.483333333333333,NA,NA,0.00952381,NA,NA,NA,0,17.72000859
"1578","3O7|2017","3O7",2017,"KK",11.43,152.38,"Male",4.728767123,NA,30,0.483333333333333,NA,NA,0.001065802,NA,NA,NA,14.40492429,0
"1579","3Q9|2017","3Q9",2017,"KK",19.24,252.26,"Male",3.78630137,NA,16.6666666666667,0.444888558961221,NA,NA,0.007665823,NA,NA,NA,47.76775787,50.8487203
