id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed
1K1,F,2009,10,31L,98K,31L,V,NA,NA,NA,NA,4.166666666666667
1G1,F,2008,11,48S,61B,48S,V,NA,NA,NA,NA,3.8333333333333335
1I5,F,2009,10,01R,72O,01R,V,NA,NA,NA,NA,4
1I7,F,2009,10,13H,12E,13H,V,NA,NA,NA,NA,3.8333333333333335
2I3,F,2009,10,52Z,51A,52Z,V,NA,NA,NA,NA,3.6666666666666665
2K1,F,2010,9,98J,46Z,98J,V,NA,NA,NA,NA,4
3D9,F,2007,12,T03,51A,T03,V,NA,NA,NA,NA,3.6666666666666665
4C5,F,2005,14,T03,51A,T03,V,NA,NA,NA,NA,4
4C9,F,2005,14,20C,44E,20C,V,NA,NA,NA,NA,2.3333333333333335
4O4,F,2012,7,1G1,4C3,1G1,V,NA,NA,NA,NA,4.333333333333333
51Z,F,2004,15,97J,61B,97J,V,NA,NA,NA,NA,4
5E8,F,2008,11,78I,60L,78I,V,NA,NA,NA,NA,3.8333333333333335
5L7,F,2010,9,81E,60L,81E,V,NA,NA,NA,NA,3.8333333333333335
78I,F,1997,22,13B,L07,13B,V,NA,NA,NA,NA,4
1B0,F,2004,15,99J,12E,99J,V,NA,NA,NA,NA,3.8333333333333335
1Q7,F,2012,7,1G4,1D4,1G4,V,NA,NA,NA,NA,4
2G3,F,2008,11,47Z,NA,47Z,V,NA,NA,NA,NA,4
45Z,F,2004,15,20C,51J,20C,V,NA,NA,NA,NA,4
8N3,F,2011,8,15E,12E,15E,V,NA,NA,NA,NA,4
90T,F,2003,16,79I,72H,79I,V,NA,NA,NA,NA,4
9M8,F,2011,8,45Z,73S,45Z,V,NA,NA,NA,NA,4
9P3,F,2012,7,2G2,8D3,2G2,V,NA,NA,NA,NA,4
00V,F,2003,16,30J,51A,30J,V,NA,NA,NA,NA,4
0M4,F,2010,9,14E,72O,14E,V,NA,NA,NA,NA,3.6666666666666665
1G4,F,2008,11,85T,30S,85T,V,NA,NA,NA,NA,3.5
2E4,F,2006,13,29J,54F,29J,V,NA,NA,NA,NA,4
2G2,F,2008,11,81E,61B,81E,V,NA,NA,NA,NA,4.166666666666667
52Z,F,2004,15,78I,01K,78I,V,NA,NA,NA,NA,4
7C4,F,2005,14,13B,17L,13B,V,NA,NA,NA,NA,3.8333333333333335
85T,F,2003,16,98J,51A,98J,V,NA,NA,NA,NA,2.3333333333333335
93T,F,2003,16,L66,51A,L66,V,NA,NA,NA,NA,4
9C1,F,2006,13,67F,54F,67F,V,NA,NA,NA,NA,3.8333333333333335
1G0,F,2008,11,25N,41N,25N,V,NA,NA,NA,NA,4.166666666666667
1I6,F,2009,10,51Z,60L,51Z,V,NA,NA,NA,NA,4
3H0,F,2008,11,1B0,NA,1B0,V,NA,NA,NA,NA,4
4J4,F,2009,10,90T,72O,90T,V,NA,NA,NA,NA,4
5O0,F,2012,7,31L,61R,31L,V,NA,NA,NA,NA,3.8333333333333335
7K8,F,2010,9,13B,97V,13B,V,NA,NA,NA,NA,4
04T,M,2002,17,96G,80B,96G,R,NA,NA,NA,NA,3.8333333333333335
0C7,M,2005,14,28J,10D,28J,F,NA,NA,NA,NA,4
0I9,M,2009,10,85T,72O,85T,V,NA,NA,NA,NA,3.8333333333333335
0P9,M,2012,7,54N,3A6,54N,R,NA,NA,NA,NA,3.6666666666666665
