id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed
14E,F,1994,23,L49,G20,L49,V,1,H,100,1405,3.3333333333333335
0M4,F,2010,7,14E,72O,14E,V,2,H,95.8333333,134,3.6666666666666665
0M3,F,2010,7,1B3,61R,1B3,V,3,H,93.75,133,3.6666666666666665
0F0,F,2007,10,31L,61B,31L,V,4,H,91.6666667,60,3.3333333333333335
1K1,F,2009,8,31L,98K,31L,V,5,H,89.5833333,1111,3.6666666666666665
5C6,F,2005,12,31L,Z46,31L,V,6,H,87.5,5036,3.6666666666666665
2E4,F,2006,11,29J,54F,29J,V,7,H,85.4166667,2054,3.8333333333333335
9C1,F,2006,11,67F,54F,67F,V,8,H,83.3333333,9031,3.6666666666666665
00V,F,2003,14,30J,51A,30J,V,9,H,81.25,22,3.1666666666666665
2G4,F,2008,9,00V,30S,00V,V,10,M,79.1666667,2074,3.5
53Z,F,2004,13,30J,51A,30J,V,11,M,77.0833333,5326,3.5
1G1,F,2008,9,48S,61B,48S,V,12,M,75,1071,3.6666666666666665
15E,F,1995,22,J41,F32,J41,V,13,M,72.9166667,1505,3.6666666666666665
0K0,F,2009,8,15E,12E,15E,V,14,M,70.8333333,110,3.3333333333333335
13H,F,1997,20,J41,S76,J41,V,15,M,68.75,1308,3.3333333333333335
1I7,F,2009,8,13H,12E,13H,V,16,M,66.6666667,1097,3.6666666666666665
78I,F,1997,20,13B,L07,13B,V,17,M,64.5833333,7809,3.6666666666666665
5E8,F,2008,9,78I,60L,78I,V,18,M,62.5,5058,3.5
7K8,F,2010,7,13B,97V,13B,V,19,M,60.4166667,7118,3.5
7C4,F,2005,12,13B,17L,13B,V,20,M,58.3333333,7034,3.6666666666666665
52Z,F,2004,13,78I,01K,78I,V,21,M,56.25,5226,3.6666666666666665
2I3,F,2009,8,52Z,51A,52Z,V,22,M,54.1666667,2093,3.5
1G6,F,2008,9,52Z,30S,52Z,V,23,M,52.0833333,1076,3.5
9E8,F,2008,9,L66,12E,L66,V,24,M,50,9058,3.6666666666666665
93T,F,2003,14,L66,51A,L66,V,25,L,47.9166667,9320,3.8333333333333335
90T,F,2003,14,79I,72H,79I,V,26,L,45.8333333,9020,3.5
4J4,F,2009,8,90T,72O,90T,V,27,L,43.75,4104,3.6666666666666665
5L7,F,2010,7,81E,60L,81E,V,28,L,41.6666667,5127,3.5
2G2,F,2008,9,81E,61B,81E,V,29,L,39.5833333,2072,3.5
1G0,F,2008,9,25N,41N,25N,V,30,L,37.5,1070,3.1666666666666665
1I5,F,2009,8,01R,72O,01R,V,31,L,35.4166667,1095,3.6666666666666665
47Z,F,2004,13,31G,12E,31G,V,32,L,33.3333333,4726,3.5
2G3,F,2008,9,47Z,NA,47Z,V,33,L,31.25,2073,3.6666666666666665
4C9,F,2005,12,20C,44E,20C,V,34,L,29.1666667,4039,3.6666666666666665
45Z,F,2004,13,20C,51J,20C,V,35,L,27.0833333,4526,3.5
1K2,F,2009,8,99J,60L,99J,V,36,L,25,1112,3.6666666666666665
1B0,F,2004,13,99J,12E,99J,V,37,L,22.9166667,1020,3.6666666666666665
3H0,F,2008,9,1B0,NA,1B0,V,38,L,20.8333333,3080,3.8333333333333335
T03,F,1989,28,845,NA,845,L,39,L,18.75,2003,0.6666666666666666
