id,sex,year.of.birth,age,mother,father,behavioral.mother,group.at.birth,rank,ordinal.rank,percofsex.dominanted,idcode,hrs.focalfollowed
4C5,F,2005,12,T03,51A,T03,V,40,L,16.6666667,4035,3.8333333333333335
5L8,F,2010,7,4C5,10R,4C5,V,41,L,14.5833333,5128,3.5
3D9,F,2007,10,T03,51A,T03,V,42,L,12.5,3049,3.8333333333333335
98J,F,1998,19,13A,X80,13A,V,43,L,10.4166667,9810,3.8333333333333335
2K1,F,2010,7,98J,46Z,98J,V,44,L,08.3333333,2111,3.1666666666666665
85T,F,2003,14,98J,51A,98J,V,45,L,06.25,8520,3.6666666666666665
1G4,F,2008,9,85T,30S,85T,V,46,L,04.1666667,1074,3.6666666666666665
51Z,F,2004,13,97J,61B,97J,V,47,L,02.0833333,5126,3.5
1I6,F,2009,8,51Z,60L,51Z,V,48,L,0,1096,3.6666666666666665
0E0,F,2006,11,40L,09K,40L,F,NA,NA,NA,NA,0.3333333333333333
51A,M,1992,25,K04,A66,K04,F,1,H,100,5101,3.5
61R,M,2001,16,07A,45A,07A,KK,2,H,96.7741935,6118,3.6666666666666665
2K4,M,2010,7,2E4,12O,2E4,V,3,H,95.1612903,2114,1.3333333333333333
0M1,M,2010,7,13H,12E,13H,V,4,H,93.5483871,131,3.5
2K6,M,2010,7,9C1,49Z,9C1,V,5,H,91.9354839,2116,3.6666666666666665
2K5,M,2010,7,52Z,60L,52Z,V,6,H,90.3225806,2115,3.5
2K3,M,2010,7,90T,46Z,90T,V,7,H,88.796774,2113,3.6666666666666665
18I,M,1998,19,L80,K42,L80,F,8,H,87.0967742,1809,3.6666666666666665
81O,M,2000,17,02A,L83,02A,R,9,H,85.483871,8115,3.5
33T,M,2002,15,89K,80B,89K,R,10,H,83.8709677,3320,3.6666666666666665
12O,M,1999,18,I56,85A,I56,S,11,H,82.2580645,1215,3.5
77I,M,1998,19,S97,D52,S97,R,12,H,80.6451613,7709,3.6666666666666665
25R,M,2001,16,V44,51A,V44,R,13,M,79.0322581,2518,3.6666666666666665
32Z,M,2004,13,J91,X81,J91,F,14,M,77.4193548,3226,3.6666666666666665
3J7,M,2009,8,47Z,72O,47Z,V,15,M,75.8064516,3107,3.6666666666666665
4E2,M,2007,10,67G,17L,67G,F,16,M,74.1935484,4052,3.6666666666666665
5E6,M,2007,10,78T,85B,78T,F,17,M,72.5806452,5056,3.5
1B1,M,2004,13,36O,78B,36O,HH,18,M,70.9677419,1021,3.5
0G1,M,2007,10,K00,91O,K00,F,19,M,69.3548387,71,3.6666666666666665
7L8,M,2010,7,40Z,97V,40Z,V,20,M,67.7419355,7128,1.3333333333333333
3I9,M,2009,8,6A4,50T,6A4,R,21,M,66.1290323,3099,3.6666666666666665
3E4,M,2006,11,30D,50G,30D,R,22,M,64.516129,3054,0.3333333333333333
4G8,M,2008,9,73B,89N,73B,F,23,M,62.9032258,4078,3.5
0L4,M,2010,7,16Z,12Z,16Z,R,24,M,61.2903226,124,2
4K7,M,2010,7,3E7,8B3,3E7,F,25,M,59.6774194,4117,3.6666666666666665
19T,M,2002,15,V05,S76,V05,KK,26,M,58.0645161,1920,3.5
3I6,M,2009,8,61A,23T,61A,F,27,M,56.4516129,3096,3.6666666666666665
3K1,M,2010,7,14L,36S,14L,F,28,M,54.8387097,3111,3.5
9I9,M,2009,8,36O,19T,36O,HH,29,M,53.2258065,9099,3.6666666666666665
0J4,M,2009,8,16Z,50T,16Z,R,30,M,51.6129032,94,3.6666666666666665
8K1,M,2010,7,6C2,13I,6C2,KK,31,M,50,8111,3.8333333333333335
2K0,M,2010,7,51Z,72O,51Z,V,32,L,48.3870968,2110,3.5
5K8,M,2010,7,28G,02R,28G,HH,33,L,46.7741935,5118,3.6666666666666665
04T,M,2002,15,96G,80B,96G,R,34,L,45.1612903,420,4
1F2,M,2007,10,81I,26P,81I,S,35,L,43.5483871,1062,3.6666666666666665
2F8,M,2007,10,08Z,43N,08Z,R,36,L,41.9354839,2068,3.6666666666666665
36V,M,2003,14,35B,62D,35B,R,37,L,40.3225806,3622,3.6666666666666665
6B8,M,2005,12,96G,80B,96G,R,38,L,38.7096774,6028,1.5
60E,M,1996,21,N12,H90,N12,F,39,L,37.0967742,6005,1.6666666666666667
5L4,M,2010,7,3D1,X80,3D1,S,40,L,35.483871,5124,2.3333333333333335
5B0,M,2005,12,81I,57D,81I,S,41,L,33.8709677,5020,3.6666666666666665
5J1,M,2009,8,4C2,23T,4C2,F,42,L,32.2580645,5101,3.6666666666666665
0I9,M,2009,8,85T,72O,85T,V,43,L,30.6451613,109,3.6666666666666665
7A2,M,2004,13,28N,86D,28N,F,45,L,27.4193548,7012,1.5
7G1,M,2008,9,39F,25I,39F,R,46,L,25.8064516,7071,3.6666666666666665
73S,M,2002,15,29B,29F,29B,F,47,L,24.1935484,7319,3.6666666666666665
7F5,M,2007,10,76J,79H,76J,KK,48,L,22.5806452,7065,3.3333333333333335
9E3,M,2007,10,56E,30L,56E,F,49,L,20.9677419,9053,3.5
3I5,M,2009,8,14Z,17K,14Z,R,50,L,19.3548387,3095,3.5
8D8,M,2006,11,60R,20J,60R,KK,51,L,17.7419355,8048,0.16666666666666666
0C7,M,2005,12,28J,10D,28J,F,52,L,16.1290323,37,1.5
1D5,M,2006,11,04O,09K,04O,F,53,L,14.516129,1045,3.5
2D0,M,2006,11,X37,05I,X37,R,54,L,12.9032258,2040,1.5
8J3,M,2009,8,56A,40C,56A,F,55,L,11.2903226,8093,3.6666666666666665
4G6,M,2008,9,42L,34P,42L,F,56,L,9.6774194,4076,3.5
5D1,M,2006,11,R59,15N,R59,F,57,L,8.0645161,5041,0.16666666666666666
6B2,M,2005,12,76L,22O,76L,R,58,L,6.4516129,6022,1
6F1,M,2008,9,77G,O15,77G,R,59,L,4.8387097,6061,1.5
9K9,M,2010,7,06A,94O,06A,S,60,L,3.2258065,9119,3.5
98K,M,1999,18,74B,T53,74B,R,61,L,1.6129032,9811,0.3333333333333333
12E,M,1995,22,J92,A98,J92,F,62,L,0,1205,0.3333333333333333
