"agonism_winner","agonism_loser","agonism_type","winner_sex","loser_sex","date","observer","data_source","focal_individual","timeblock"
"9C1","5C6","aggression","F","F","2017-11-29","DP","scan","agonsim.winner","AM"
"2K3","7C4","aggression","M","M","2017-11-30","DP","scan","agonsim.winner","AM"
"4E2","4G8","submit","M",NA,"2017-12-05","DP","scan","agonsim.winner","AM"
"'9E8","1B0","submit","F","F","2017-12-11","DP","scan","agonsim.loser","AM"
"77I","3J7","submit","M","M","2017-12-11","DP","scan","agonsim.loser","AM"
"3J7","7G1","submit","M","M","2017-12-13","DP","scan","agonsim.winner","AM"
"'9E8","1B0","submit","F","F","2017-12-15","DP","scan","agonsim.loser","AM"
"1F2","9E3","submit","M","M","2017-12-20","DP","scan","agonsim.winner","AM"
"2I3","85T","aggression",NA,"F","2017-12-20","DP","scan","agonsim.loser","AM"
"3I6","5J1","submit",NA,"F","2018-01-03","DP","scan","agonsim.loser","AM"
"2G4","1I5","aggression","F","F","2018-01-03","DP","scan","agonsim.loser","AM"
"52Z","90T","aggression",NA,"F","2018-01-04","DP","scan","agonsim.loser","AM"
"2K6","2G2","aggression","F","M","2018-01-08","DP","scan","agonsim.winner","AM"
"1G1","2K1","aggression",NA,"F","2018-01-08","DP","scan","agonsim.loser","AM"
"0M4","61R","aggression","M","M","2018-01-16","DP","scan","agonsim.loser","AM"
"2K6","33T","submit","F","M","2018-01-16","DP","scan","agonsim.winner","AM"
"2K3","3D9","aggression","M","M","2018-01-18","DP","scan","agonsim.winner","AM"
"73S","6E6","submit","M","M","2018-01-18","DP","scan","agonsim.loser","AM"
"2K3","'5E8","aggression","M","M","2018-01-19","DP","scan","agonsim.winner","AM"
"7G1","2I3","aggression","F","F","2018-01-25","DP","scan","agonsim.loser","AM"
"2K3","33T","aggression","M","M","2018-01-26","DP","scan","agonsim.loser","AM"
"73S","4J4","submit","F","F","2018-01-26","DP","scan","agonsim.loser","AM"
"73S","4J4","submit","M","M","2018-01-26","DP","scan","agonsim.winner","AM"
"4G8","0G8","submit","M","M","2018-02-01","DP","scan","agonsim.loser","AM"
"4G8","8K1","submit","M","M","2018-02-02","DP","scan","agonsim.winner","AM"
"2K6","0M3","submit","F","F","2018-02-02","DP","scan","agonsim.loser","AM"
"2K5","3J7","submit","M","M","2018-02-05","DP","scan","agonsim.loser","AM"
"4E2","8K1","submit","M",NA,"2018-02-05","DP","scan","agonsim.winner","AM"
"77I","1F2","aggression","M","M","2018-02-08","DP","scan","agonsim.loser","AM"
"53Z","2G2","aggression","F","M","2018-02-08","DP","scan","agonsim.loser","AM"
"93T","36V","aggression","M","M","2018-02-08","DP","scan","agonsim.loser","AM"
"12O","51Z","aggression",NA,"F","2018-02-08","DP","scan","agonsim.loser","AM"
"1K1","90T","aggression","F","F","2018-02-09","DP","scan","agonsim.winner","AM"
"77I","8J3","submit","M","M","2018-02-09","DP","scan","agonsim.winner","AM"
NA,"3H0","aggression",NA,"F","2018-02-13","DP","scan","agonsim.loser","AM"
"3J7","2D0","submit","M","M","2018-02-14","DP","scan","agonsim.winner","AM"
"0C7","6E6","submit","M","M","2018-02-14","DP","scan","agonsim.loser","AM"
"4G8","7G1","aggression","M","M","2018-02-15","DP","scan","agonsim.winner","AM"
"0M1","90T","aggression","M",NA,"2018-02-16","DP","scan","agonsim.winner","AM"
"61R","2G4","aggression","M","M","2018-02-16","DP","scan","agonsim.winner","AM"
"61R","0M3","submit","F","F","2018-02-16","DP","scan","agonsim.loser","AM"
"12O","1B1","submit","M","M","2018-02-16","DP","scan","agonsim.loser","AM"
NA,"7K8","submit",NA,"F","2018-02-20","DP","scan","agonsim.loser","AM"
"6K5",NA,"aggression","M","M","2018-02-20","DP","scan","agonsim.winner","AM"
"7G1",NA,"submit","F","M","2018-02-20","DP","scan","agonsim.winner","AM"
"0M1",NA,"aggression","M",NA,"2018-02-21","DP","scan","agonsim.winner","AM"
"1G0",NA,"aggression","F","M","2018-02-21","DP","scan","agonsim.winner","AM"
"0G1","7G1","submit","M","M","2018-02-22","DP","scan","agonsim.winner","AM"
"5N5","78I","submit",NA,"F","2018-02-22","DP","scan","agonsim.loser","AM"
"61R","4G8","submit","M","M","2018-02-28","DP","scan","agonsim.loser","AM"
"0M1","3J7","submit","M",NA,"2018-03-01","DP","scan","agonsim.winner","AM"
"1B1","3I9","submit","M","M","2018-03-02","DP","scan","agonsim.loser","AM"
"0M3","1K1","submit","F","F","2018-03-06","DP","scan","agonsim.winner","AM"
"93T","5L8","aggression","F",NA,"2018-03-06","DP","scan","agonsim.winner","PM"
"93T","5L8","aggression",NA,"F","2018-03-06","DP","scan","agonsim.loser","PM"
"5B0","3B9","submit",NA,"M","2018-03-07","DP","scan","agonsim.loser","PM"
"14E","7K8","submit","F",NA,"2018-03-08","DP","scan","agonsim.winner","AM"
"77I","6K5","aggression","M","M","2018-03-08","DP","scan","agonsim.winner","AM"
"3I5","8J3","submit","M",NA,"2018-03-27","DP","scan","agonsim.winner","AM"
"32Z","6B8","submit","M","M","2018-03-27","DP","scan","agonsim.loser","AM"
"6B8","3M2","submit",NA,"M","2018-03-28","DP","scan","agonsim.loser","AM"
"0M1","3J7","submit","M","M","2018-03-29","DP","scan","agonsim.loser","AM"
"04T","3B9","submit",NA,"M","2018-04-02","DP","scan","agonsim.loser","AM"
"2E4","00V","submit","F",NA,"2018-04-02","DP","scan","agonsim.winner","AM"
"9C1","51Z","aggression","F","F","2018-04-02","DP","scan","agonsim.winner","AM"
"2N0","4G8","submit","M",NA,"2018-04-02","DP","scan","agonsim.winner","PM"
"12O","3I6","aggression","M","M","2018-04-03","DP","scan","agonsim.loser","AM"
"4C9","1B0","aggression","F","F","2018-04-03","DP","scan","agonsim.winner","AM"
"4C9","1B0","aggression","F","F","2018-04-03","DP","scan","agonsim.loser","AM"
"3I9","1F2","aggression","M","M","2018-04-04","DP","scan","agonsim.loser","AM"
"3I9","1F2","aggression","M","M","2018-04-04","DP","scan","agonsim.winner","AM"
"3I9","5B0","aggression","M","M","2018-04-04","DP","scan","agonsim.winner","AM"
"61R","2K5","submit","M","M","2018-04-12","DP","scan","agonsim.winner","PM"
"9C1","2K1","aggression",NA,"F","2018-04-13","DP","scan","agonsim.loser","AM"
"2K3","5B0","submit","M","M","2018-04-13","DP","scan","agonsim.winner","AM"
"32Z","2N8","aggression","M","M","2018-04-16","DP","scan","agonsim.winner","AM"
"1G1","8N3","submit","F","F","2018-04-16","DP","scan","agonsim.winner","AM"
"3D9","85T","submit","F","M","2018-04-16","DP","scan","agonsim.winner","AM"
"8J3","1E5","submit","M","M","2018-04-17","DP","scan","agonsim.winner","AM"
"81O","1E5","submit","M","M","2018-04-17","DP","scan","agonsim.winner","AM"
"3K1","5K8","aggression","M","M","2018-04-17","DP","scan","agonsim.winner","AM"
"0M3","1G1","submit","F","F","2018-04-18","DP","scan","agonsim.winner","AM"
"5N5","0C7","submit","M","M","2018-04-18","DP","scan","agonsim.loser","AM"
"3J7","36V","aggression","M","M","2018-04-20","DP","scan","agonsim.loser","AM"
"04T","9E3","submit","M","M","2018-04-24","DP","scan","agonsim.loser","AM"
"4E2","81O","submit","M","M","2018-04-24","DP","scan","agonsim.loser","AM"
"0M1","0I9","submit","M",NA,"2018-04-24","DP","scan","agonsim.winner","PM"
"4J4","2I3","aggression","F","F","2018-04-24","DP","scan","agonsim.winner","PM"
"JM","2I3","aggression","F","F","2018-04-25","DP","scan","agonsim.loser","AM"
"6K5","9K9","submit",NA,"M","2018-04-25","DP","scan","agonsim.loser","AM"
"5N5","2K3","submit","F","M","2018-04-25","DP","scan","agonsim.winner","AM"
