"agonism_winner","agonism_loser","agonism_type","winner_sex","loser_sex","date","observer","data_source","focal_individual","timeblock"
"93O","1C5","aggression","F","F","2018-01-25","DP","scan","agonsim.loser","AM"
"46Z","1E2","aggression","F","F","2018-01-25","DP","scan","agonsim.loser","AM"
"3M3","83Z","aggression","F","F","2018-01-25","DP","scan","agonsim.loser","AM"
"0K8","9L9","aggression","F","M","2018-01-26","DP","scan","agonsim.winner","AM"
"46Z","76J","aggression","M","M","2018-01-26","DP","scan","agonsim.winner","AM"
"8L3","2J7","aggression","F","F","2018-01-26","DP","scan","agonsim.winner","AM"
"6D6",NA,"aggression","F","F","2018-01-26","DP","scan","agonsim.winner","AM"
"16R","99L","aggression","M","M","2018-01-26","DP","scan","agonsim.loser","AM"
"24V","2J7","aggression","F","F","2018-01-26","DP","scan","agonsim.loser","AM"
"24V","6L1","aggression","F","F","2018-01-30","DP","scan","agonsim.winner","AM"
"1J8","6D4","aggression","F","F","2018-01-30","DP","scan","agonsim.loser","AM"
"1E2","4F1","aggression","F","F","2018-01-30","DP","scan","agonsim.loser","AM"
"98Z","2F2","aggression","M","M","2018-02-01","DP","scan","agonsim.winner","AM"
"0K8","6M7","aggression","F","F","2018-02-01","DP","scan","agonsim.loser","AM"
"JF","4D8","aggression","F","F","2018-02-01","DP","scan","agonsim.loser","AM"
"1J8","73Z","aggression","F","M","2018-02-01","DP","scan","agonsim.loser","AM"
"27N","8C9","aggression","M","M","2018-02-01","DP","scan","agonsim.loser","AM"
"0L5","8C9","aggression","M","M","2018-02-02","DP","scan","agonsim.winner","AM"
"JM","0J5","aggression","F","F","2018-02-02","DP","scan","agonsim.loser","AM"
"73Z","51V","aggression","F","F","2018-02-02","DP","scan","agonsim.loser","AM"
"6C2","1C5","aggression","F","F","2018-02-02","DP","scan","agonsim.loser","AM"
"5H4","4D8","aggression","F","M","2018-02-05","DP","scan","agonsim.winner","AM"
NA,"4M9","aggression",NA,"F","2018-02-05","DP","scan","agonsim.loser","AM"
"8H2","2J7","aggression","F","F","2018-02-05","DP","scan","agonsim.loser","AM"
"46Z","0M6","aggression","F","F","2018-02-05","DP","scan","agonsim.loser","AM"
"9H9","1L1","aggression","F","M","2018-02-05","DP","scan","agonsim.loser","AM"
"73Z","76J","aggression","F","M","2018-02-05","DP","scan","agonsim.loser","AM"
"JM","1E2","aggression","F","F","2018-02-05","DP","scan","agonsim.loser","AM"
"24V","3F5","aggression","F","F","2018-02-05","DP","scan","agonsim.loser","AM"
"6L4","0M6","aggression","M","M","2018-02-06","DP","scan","agonsim.winner","AM"
"6C2","1L1","aggression","F","F","2018-02-13","DP","scan","agonsim.winner","AM"
"8L3","27N","aggression","F","F","2018-02-13","DP","scan","agonsim.winner","AM"
"44V","37V","aggression","F","M","2018-02-13","DP","scan","agonsim.winner","AM"
"JF","76J","aggression","F","M","2018-02-13","DP","scan","agonsim.loser","AM"
"98Z","7J7","aggression","F","F","2018-02-13","DP","scan","agonsim.loser","AM"
"JF","8I9","aggression","F","F","2018-02-13","DP","scan","agonsim.loser","AM"
"6L4","5J3","aggression","M","M","2018-02-14","DP","scan","agonsim.winner","AM"
"76J","8I9","aggression","F","F","2018-02-14","DP","scan","agonsim.loser","AM"
"3M3","6L3","aggression","M","M","2018-02-14","DP","scan","agonsim.loser","AM"
"73Z","2C4","aggression","F","M","2018-02-14","DP","scan","agonsim.loser","AM"
"8C9","37V","aggression","F","F","2018-02-14","DP","scan","agonsim.loser","AM"
"9L9","7I8","aggression","F","F","2018-02-15","DP","scan","agonsim.winner","AM"
"5L3","5J3","aggression","M","M","2018-02-15","DP","scan","agonsim.winner","AM"
"49V","3F7","aggression","F","M","2018-02-15","DP","scan","agonsim.loser","AM"
"0K8","86Z","aggression","F","M","2018-02-20","DP","scan","agonsim.winner","AM"
"56K","0J5","aggression","F","F","2018-02-20","DP","scan","agonsim.loser","AM"
"27J","5J3","aggression","M","M","2018-02-20","DP","scan","agonsim.loser","AM"
"6L4","9L9","aggression","M","M","2018-02-21","DP","scan","agonsim.winner","AM"
"31S","6D9","aggression","M","M","2018-02-21","DP","scan","agonsim.winner","AM"
"8L3","2J7","aggression","F","F","2018-02-21","DP","scan","agonsim.winner","AM"
"31S","27J","aggression","M","M","2018-02-21","DP","scan","agonsim.winner","AM"
"6I9","3F5","aggression","F","F","2018-02-21","DP","scan","agonsim.loser","AM"
"99L","73Z","aggression","M","M","2018-02-22","DP","scan","agonsim.winner","AM"
"2C3","42T","aggression","F","M","2018-02-22","DP","scan","agonsim.winner","AM"
"0J5","1C5","aggression","F","F","2018-02-22","DP","scan","agonsim.winner","AM"
"2J7","4M9","aggression","F","F","2018-02-22","DP","scan","agonsim.winner","AM"
"6D4","JF","aggression","F","F","2018-02-22","DP","scan","agonsim.winner","AM"
"16R","8C9","aggression","M",NA,"2018-02-22","DP","scan","agonsim.winner","AM"
"6I9","7I8","aggression","F","F","2018-02-22","DP","scan","agonsim.loser","AM"
"6D6","3F7","aggression","F","M","2018-02-22","DP","scan","agonsim.loser","AM"
"27J","2C3","aggression","M","M","2018-02-23","DP","scan","agonsim.winner","AM"
"5J3","4M9","aggression","M","M","2018-02-23","DP","scan","agonsim.winner","AM"
"1J8","76J","aggression","F","M","2018-02-23","DP","scan","agonsim.loser","AM"
"76J","8I9","aggression","F","F","2018-02-23","DP","scan","agonsim.loser","AM"
"6L4","0L5","aggression","M","M","2018-02-27","DP","scan","agonsim.winner","AM"
"73Z","0K8","aggression","F","M","2018-02-27","DP","scan","agonsim.winner","AM"
"4D8","9H9","aggression","F","M","2018-02-27","DP","scan","agonsim.loser","AM"
"6I9","56K","aggression","M","M","2018-02-27","DP","scan","agonsim.loser","AM"
"6I9","1J8","aggression","F","M","2018-02-28","DP","scan","agonsim.winner","AM"
"46Z","JF","aggression","M","M","2018-02-28","DP","scan","agonsim.winner","AM"
"24V","4F1","aggression","F","F","2018-02-28","DP","scan","agonsim.winner","AM"
"9.00E+06","6L3","aggression","M","M","2018-02-28","DP","scan","agonsim.loser","AM"
"2C3","7J7","aggression","F","F","2018-02-28","DP","scan","agonsim.loser","AM"
"6I9","2M4","aggression","M","M","2018-02-28","DP","scan","agonsim.loser","AM"
"56K","6L4","aggression","M","M","2018-03-01","DP","scan","agonsim.winner","AM"
"9N6","6D6","aggression","F","F","2018-03-01","DP","scan","agonsim.winner","AM"
"0K8","2C4","aggression","F","M","2018-03-01","DP","scan","agonsim.winner","AM"
"4F1","6C2","aggression","F","F","2018-03-01","DP","scan","agonsim.winner","AM"
"8L3","2C4","aggression","F","F","2018-03-01","DP","scan","agonsim.winner","AM"
"JM","6K6","aggression","F","F","2018-03-01","DP","scan","agonsim.loser","AM"
"98Z","8I9","aggression","F","F","2018-03-01","DP","scan","agonsim.loser","AM"
"98Z","6L4","aggression","M","M","2018-03-01","DP","scan","agonsim.loser","AM"
"JF","0J5","aggression","F","F","2018-03-01","DP","scan","agonsim.loser","AM"
"98Z","INF","aggression","M","M","2018-03-02","DP","scan","agonsim.winner","AM"
"3E4","9L9","aggression","F","F","2018-03-02","DP","scan","agonsim.loser","AM"
"56K","46Z","aggression","M","M","2018-03-06","DP","scan","agonsim.winner","PM"
"46Z","2J7","aggression","M","M","2018-03-06","DP","scan","agonsim.winner","AM"
"JM","3F5","aggression","F","F","2018-03-06","DP","scan","agonsim.loser","AM"
"1J8","42T","aggression","M","F","2018-03-06","DP","scan","agonsim.loser","AM"
"1J8","6M7","aggression","F","F","2018-03-06","DP","scan","agonsim.loser","AM"
"5J3","8L3","aggression","F","F","2018-03-06","DP","scan","agonsim.loser","PM"
"7F0","JF","aggression","F","F","2018-03-08","DP","scan","agonsim.winner","AM"
"5L3","93O","aggression","M","M","2018-03-08","DP","scan","agonsim.winner","AM"
"8L3","4D8","aggression","F","F","2018-03-08","DP","scan","agonsim.winner","AM"
"0L5","83Z","aggression","M","M","2018-03-08","DP","scan","agonsim.winner","PM"
"31S","9L9","aggression","M","M","2018-03-08","DP","scan","agonsim.winner","PM"
"1E2","2F2","aggression","F","M","2018-03-08","DP","scan","agonsim.loser","AM"
"16R","2J7","aggression","F","F","2018-03-08","DP","scan","agonsim.loser","AM"
"8L3","98Z","aggression","M","M","2018-03-08","DP","scan","agonsim.loser","PM"
"98Z","42T","aggression","M","F","2018-03-08","DP","scan","agonsim.loser","PM"
"5J3","6K6","aggression","F","F","2018-03-08","DP","scan","agonsim.loser","PM"
"8H2","1C5","aggression","M","M","2018-03-09","DP","scan","agonsim.winner","AM"
"6D6","6C2","aggression","F","F","2018-03-09","DP","scan","agonsim.winner","AM"
"8I9","0J5","aggression","F","F","2018-03-09","DP","scan","agonsim.winner","AM"
"3E4","0K8","aggression","F","M","2018-03-09","DP","scan","agonsim.winner","AM"
"46Z","86Z","aggression","F","M","2018-03-09","DP","scan","agonsim.loser","AM"
"6L3","7F0","aggression","F","F","2018-03-09","DP","scan","agonsim.loser","AM"
"8C9","4F1","aggression","F","F","2018-03-09","DP","scan","agonsim.loser","AM"
"6L4","6M7","aggression","F","F","2018-03-09","DP","scan","agonsim.loser","AM"
"JF","8I9","aggression","F","F","2018-03-09","DP","scan","agonsim.loser","PM"
"44V","51V","aggression","F","M","2018-03-19","DP","scan","agonsim.winner","AM"
"7J7","2F2","aggression","F","F","2018-03-19","DP","scan","agonsim.winner","AM"
"0K8","JF","aggression","F","M","2018-03-19","DP","scan","agonsim.winner","PM"
"1E2","4D8","aggression","F","F","2018-03-19","DP","scan","agonsim.loser","AM"
"1J8","1M8","aggression","M","M","2018-03-19","DP","scan","agonsim.loser","AM"
"3E4","6D9","aggression","F","F","2018-03-19","DP","scan","agonsim.loser","PM"
"3E4","4D8","aggression","F","F","2018-03-19","DP","scan","agonsim.loser","PM"
"6L3","6L4","aggression","M","M","2018-03-20","DP","scan","agonsim.winner","AM"
"7J7","JM","aggression","F","F","2018-03-20","DP","scan","agonsim.winner","PM"
"1M8","JM","aggression","M","M","2018-03-21","DP","scan","agonsim.winner","AM"
"1E2","4D8","aggression","F","F","2018-03-21","DP","scan","agonsim.winner","AM"
"1E2","JM","aggression","F","F","2018-03-21","DP","scan","agonsim.winner","PM"
"98Z","8I9","aggression","M","M","2018-03-21","DP","scan","agonsim.winner","AM"
"8C9","4F1","aggression","M","M","2018-03-22","DP","scan","agonsim.winner","AM"
"8H2","8A7","aggression","M","M","2018-03-22","DP","scan","agonsim.winner","AM"
"5J3","8H2","aggression","M","M","2018-03-22","DP","scan","agonsim.winner","AM"
"6D9","3F5","aggression","F","F","2018-03-22","DP","scan","agonsim.winner","PM"
"6D4","JF","aggression","F","F","2018-03-22","DP","scan","agonsim.winner","AM"
"98Z","5M5","aggression","M","M","2018-03-22","DP","scan","agonsim.winner","AM"
"31S","3F5","aggression","F","F","2018-03-22","DP","scan","agonsim.loser","PM"
"8H2","1J8","aggression","M","M","2018-03-23","DP","scan","agonsim.winner","AM"
"6C2","5M5","aggression","F","F","2018-03-23","DP","scan","agonsim.winner","AM"
"42T","4M9","aggression","M","F","2018-03-23","DP","scan","agonsim.winner","AM"
"98Z","42T","aggression","M","M","2018-03-23","DP","scan","agonsim.winner","AM"
"27J","2J7","aggression","M","M","2018-03-23","DP","scan","agonsim.winner","AM"
"5H4","8L3","aggression","F","M","2018-03-23","DP","scan","agonsim.winner","AM"
"1E2","3F7","aggression","F","F","2018-03-23","DP","scan","agonsim.winner","AM"
"46Z","83Z","aggression","F","F","2018-03-23","DP","scan","agonsim.loser","AM"
"6K6","9H9","aggression","F","M","2018-03-23","DP","scan","agonsim.loser","AM"
"JF","44V","aggression","F","M","2018-03-23","DP","scan","agonsim.loser","AM"
"8C9","6L1","aggression","M","M","2018-03-26","DP","scan","agonsim.winner","PM"
"8H2","86Z","aggression","M","M","2018-03-26","DP","scan","agonsim.winner","PM"
"6L3","3E4","aggression","M","M","2018-03-26","DP","scan","agonsim.winner","AM"
"27N","27J","aggression","M","M","2018-03-26","DP","scan","agonsim.loser","AM"
"2J7","2C4","aggression","F","M","2018-03-26","DP","scan","agonsim.loser","AM"
"73Z","6D6","aggression","F","F","2018-03-26","DP","scan","agonsim.loser","AM"
"5H4","9N6","aggression","F","F","2018-03-26","DP","scan","agonsim.loser","AM"
"2C4","9I8","aggression","F","F","2018-03-26","DP","scan","agonsim.loser","PM"
"0L5","93O","aggression","F","F","2018-03-26","DP","scan","agonsim.loser","PM"
"46Z","3F7","aggression","M","M","2018-03-27","DP","scan","agonsim.winner","AM"
"1E2","60R","aggression","F","F","2018-03-27","DP","scan","agonsim.loser","AM"
"5I5","8B3","aggression","M","M","2018-03-27","DP","scan","agonsim.loser","AM"
"46Z","4M9","aggression",NA,"F","2018-03-27","DP","scan","agonsim.loser","AM"
"5H4","JM","aggression","F","M","2018-03-28","DP","scan","agonsim.winner","AM"
"JF","1C7","aggression",NA,"M","2018-03-28","DP","scan","agonsim.loser","PM"
"JM","1L1","aggression","F","M","2018-03-28","DP","scan","agonsim.loser","PM"
"46Z","JF","aggression","M","M","2018-03-29","DP","scan","agonsim.winner","AM"
"46Z","0M6","aggression","M","M","2018-03-29","DP","scan","agonsim.winner","AM"
"8L3","2C4","aggression","F","M","2018-03-29","DP","scan","agonsim.loser","AM"
"5J3","83Z","aggression","F","F","2018-03-29","DP","scan","agonsim.loser","AM"
"1M8","8B3","aggression","M","M","2018-03-29","DP","scan","agonsim.loser","AM"
"5H4","3F7","aggression","F","M","2018-04-02","DP","scan","agonsim.winner","AM"
"8C9","8H2","aggression","M","M","2018-04-02","DP","scan","agonsim.winner","AM"
"46Z","0L5","aggression","M","M","2018-04-02","DP","scan","agonsim.winner","PM"
"5L3","0C6","aggression","M","M","2018-04-02","DP","scan","agonsim.winner","PM"
"73Z","2C3","aggression","F","M","2018-04-02","DP","scan","agonsim.winner","PM"
"24V","4D8","aggression","F","F","2018-04-02","DP","scan","agonsim.winner","PM"
"0M6","0J5","aggression","F","F","2018-04-02","DP","scan","agonsim.winner","AM"
"2F2",NA,"aggression","F","M","2018-04-02","DP","scan","agonsim.winner","AM"
"6C2","1C5","aggression","F","F","2018-04-02","DP","scan","agonsim.loser","AM"
"86Z","6D6","aggression","F","F","2018-04-02","DP","scan","agonsim.loser","AM"
"3E4","7F0","aggression","F","F","2018-04-02","DP","scan","agonsim.loser","PM"
"3E4","6D6","aggression","F","F","2018-04-02","DP","scan","agonsim.loser","PM"
"8C9","0J5","aggression","F","F","2018-04-02","DP","scan","agonsim.loser","PM"
"6K6","0J5","aggression","F","F","2018-04-03","DP","scan","agonsim.winner","AM"
"1M8","1J8","aggression","M","M","2018-04-03","DP","scan","agonsim.winner","AM"
"6M7","37V","aggression","F","F","2018-04-03","DP","scan","agonsim.winner","AM"
"6L4","0J5","aggression","M","M","2018-04-03","DP","scan","agonsim.winner","PM"
"3M3","7I8","aggression","M","M","2018-04-03","DP","scan","agonsim.winner","PM"
"5H4","6C2","aggression","F","M","2018-04-03","DP","scan","agonsim.winner","PM"
"9L9","JF","aggression","F","F","2018-04-03","DP","scan","agonsim.winner","PM"
"6D6","83Z","aggression","F","F","2018-04-03","DP","scan","agonsim.winner","PM"
"73Z","8I9","aggression","F","F","2018-04-03","DP","scan","agonsim.loser","PM"
"2C4","2M4","aggression","M","M","2018-04-03","DP","scan","agonsim.loser","PM"
"6L3","6L1","aggression","F","F","2018-04-03","DP","scan","agonsim.loser","PM"
"JM","86Z","aggression","F","M","2018-04-03","DP","scan","agonsim.loser","PM"
"6K6","JF","aggression","F","F","2018-04-04","DP","scan","agonsim.winner","AM"
"2J7","83Z","aggression","F","F","2018-04-04","DP","scan","agonsim.winner","AM"
"24V","51V","aggression","F","F","2018-04-04","DP","scan","agonsim.winner","PM"
"4D8","JF","aggression","F","F","2018-04-04","DP","scan","agonsim.winner","PM"
"9L9","JF","aggression","F","F","2018-04-04","DP","scan","agonsim.winner","PM"
"2J7","JF","aggression","F","F","2018-04-04","DP","scan","agonsim.winner","PM"
"73Z","6K6","aggression","F","F","2018-04-04","DP","scan","agonsim.loser","AM"
"JM","86Z","aggression","F","M","2018-04-04","DP","scan","agonsim.loser","AM"
"27J","7I8","aggression","F","F","2018-04-04","DP","scan","agonsim.loser","AM"
"7J7","37V","aggression","F","F","2018-04-04","DP","scan","agonsim.loser","PM"
"83Z","6D4","aggression","F","F","2018-04-04","DP","scan","agonsim.loser","PM"
"73Z","1E2","aggression","F","M","2018-04-05","DP","scan","agonsim.winner","AM"
"5J3","3F7","aggression","M","M","2018-04-05","DP","scan","agonsim.winner","AM"
"5J3","3E4","aggression","M","M","2018-04-05","DP","scan","agonsim.winner","AM"
"6L4","1C5","aggression","M","M","2018-04-05","DP","scan","agonsim.winner","AM"
"46Z","24V","aggression","M","M","2018-04-05","DP","scan","agonsim.winner","AM"
"56K","JM","aggression","M","M","2018-04-05","DP","scan","agonsim.winner","AM"
"1E2","7J7","aggression","F","F","2018-04-05","DP","scan","agonsim.loser","AM"
"98Z","2J7","aggression","F","F","2018-04-05","DP","scan","agonsim.loser","AM"
"JM","2M4","aggression","M","M","2018-04-05","DP","scan","agonsim.loser","AM"
"2C3","51V","aggression","F","M","2018-04-09","DP","scan","agonsim.winner","AM"
"2C4","JM","aggression","F","M","2018-04-09","DP","scan","agonsim.winner","AM"
"31S","JF","aggression","M","M","2018-04-09","DP","scan","agonsim.winner","PM"
"0K8","42T","aggression","F","M","2018-04-09","DP","scan","agonsim.winner","AM"
"7D7","1J8","aggression","F","M","2018-04-09","DP","scan","agonsim.loser","AM"
"0L5","8H2","aggression","M","M","2018-04-09","DP","scan","agonsim.loser","AM"
"3M3","60R","aggression","F","F","2018-04-09","DP","scan","agonsim.loser","AM"
"56K","3M3","aggression","M","M","2018-04-09","DP","scan","agonsim.loser","AM"
"46Z","0M6","aggression","F","F","2018-04-09","DP","scan","agonsim.loser","PM"
"4D8","JF","aggression","F","F","2018-04-10","DP","scan","agonsim.winner","PM"
"3M3","0J5","aggression","F","F","2018-04-10","DP","scan","agonsim.loser","AM"
"5L3","7D7","aggression","M","M","2018-04-10","DP","scan","agonsim.loser","PM"
"JM","6M7","aggression","F","F","2018-04-10","DP","scan","agonsim.loser","PM"
"5J3","8C9","aggression","M","M","2018-04-12","DP","scan","agonsim.winner","AM"
"8L3","JF","aggression","F","F","2018-04-12","DP","scan","agonsim.winner","AM"
"7D7","2D7","aggression","M","M","2018-04-12","DP","scan","agonsim.winner","AM"
"98Z","86Z","aggression","M","M","2018-04-12","DP","scan","agonsim.winner","AM"
"5M5","JF","aggression","F","M","2018-04-12","DP","scan","agonsim.winner","PM"
"46Z","60R","aggression","F","F","2018-04-12","DP","scan","agonsim.loser","AM"
"7D7","24V","aggression","F","F","2018-04-12","DP","scan","agonsim.loser","AM"
"JM","4F1","aggression","F","F","2018-04-12","DP","scan","agonsim.loser","PM"
"98Z","5J3","aggression","M","M","2018-04-13","DP","scan","agonsim.winner","AM"
"6L4","2K0","aggression","M","M","2018-04-13","DP","scan","agonsim.winner","AM"
"98Z","JF","aggression","M","M","2018-04-13","DP","scan","agonsim.winner","AM"
"3M3","6L3","aggression","M","M","2018-04-13","DP","scan","agonsim.winner","AM"
"76J","INF","aggression","F","M","2018-04-13","DP","scan","agonsim.winner","AM"
"27J","6D6","aggression","M","M","2018-04-13","DP","scan","agonsim.winner","AM"
"JM","4F1","aggression","F","F","2018-04-13","DP","scan","agonsim.loser","AM"
"9N6","6D9","aggression","F","F","2018-04-13","DP","scan","agonsim.loser","AM"
"24V","JF","aggression","F","F","2018-04-16","DP","scan","agonsim.winner","AM"
"6L4","2K0","aggression","M","M","2018-04-16","DP","scan","agonsim.winner","AM"
"73Z","24V","aggression","F","M","2018-04-16","DP","scan","agonsim.winner","AM"
"2K0","1L1","aggression","M","M","2018-04-16","DP","scan","agonsim.winner","AM"
"6K6","6L1","aggression","F","F","2018-04-16","DP","scan","agonsim.winner","AM"
"3M3","8I9","aggression","M","M","2018-04-16","DP","scan","agonsim.winner","PM"
"1E2","0K8","aggression","F","F","2018-04-16","DP","scan","agonsim.winner","PM"
"8I9","JF","aggression","F","F","2018-04-16","DP","scan","agonsim.winner","PM"
"3E4","4L7","aggression","M","M","2018-04-16","DP","scan","agonsim.loser","AM"
"JF","6L1","aggression","F","F","2018-04-16","DP","scan","agonsim.loser","AM"
"3M3","60R","aggression","F","F","2018-04-16","DP","scan","agonsim.loser","AM"
"JM","2F2","aggression","F","M","2018-04-16","DP","scan","agonsim.loser","PM"
"0M6","7J7","aggression","F","F","2018-04-16","DP","scan","agonsim.loser","PM"
"0M6","3F7","aggression","F","F","2018-04-17","DP","scan","agonsim.winner","AM"
"4F1","60R","aggression","F","F","2018-04-17","DP","scan","agonsim.winner","AM"
"27N","8L3","aggression","M","F","2018-04-17","DP","scan","agonsim.winner","PM"
"4F1","JM","aggression","F","F","2018-04-17","DP","scan","agonsim.winner","PM"
"0M6","6D4","aggression","F","F","2018-04-17","DP","scan","agonsim.loser","AM"
"6D6","6L1","aggression","F","F","2018-04-17","DP","scan","agonsim.loser","AM"
"5K0","3E4","aggression","F","M","2018-04-17","DP","scan","agonsim.loser","PM"
"98Z","8C9","aggression","M","M","2018-04-17","DP","scan","agonsim.loser","PM"
"2C3","7I8","aggression","F","M","2018-04-18","DP","scan","agonsim.winner","AM"
"24V","0K8","aggression","F","F","2018-04-18","DP","scan","agonsim.winner","AM"
"73Z","6D6","aggression","F","M","2018-04-18","DP","scan","agonsim.winner","AM"
"6L4","93O","aggression","M","M","2018-04-18","DP","scan","agonsim.winner","AM"
"5H4","4F1","aggression","F","M","2018-04-18","DP","scan","agonsim.winner","AM"
"5H4","INF","aggression","F","M","2018-04-18","DP","scan","agonsim.winner","PM"
"0M6","JM","aggression","F","F","2018-04-18","DP","scan","agonsim.winner","PM"
"98Z","0M6","aggression","F","F","2018-04-18","DP","scan","agonsim.loser","AM"
"JM","6D9","aggression","F","F","2018-04-18","DP","scan","agonsim.loser","AM"
"76J","7J7","aggression","F","F","2018-04-18","DP","scan","agonsim.loser","AM"
"1J8","5H4","aggression","F","M","2018-04-18","DP","scan","agonsim.loser","AM"
"27J","0M6","aggression","F","F","2018-04-18","DP","scan","agonsim.loser","PM"
"3E4","4L7","aggression","F","M","2018-04-20","DP","scan","agonsim.winner","AM"
"73Z","6K6","aggression","F","M","2018-04-20","DP","scan","agonsim.winner","AM"
"6L4","JF","aggression","M","M","2018-04-20","DP","scan","agonsim.winner","AM"
"24V","0K8","aggression","F","F","2018-04-20","DP","scan","agonsim.winner","AM"
"73Z","8L3","aggression","F","M","2018-04-20","DP","scan","agonsim.winner","AM"
"6D9","JF","aggression","F","F","2018-04-20","DP","scan","agonsim.winner","AM"
"6L3","7J7","aggression","F","F","2018-04-20","DP","scan","agonsim.loser","AM"
"6L4","7D7","aggression","M","M","2018-04-24","DP","scan","agonsim.winner","AM"
"5H4","1E2","aggression","F","M","2018-04-24","DP","scan","agonsim.winner","AM"
"8B3","JF","aggression","M","M","2018-04-24","DP","scan","agonsim.winner","AM"
"7J7","2C4","aggression","F","F","2018-04-24","DP","scan","agonsim.winner","PM"
"8C9","7D7","aggression","M","M","2018-04-24","DP","scan","agonsim.winner","PM"
"9I8","1M8","aggression","M","M","2018-04-24","DP","scan","agonsim.loser","AM"
"2J7","1E2","aggression","F","F","2018-04-24","DP","scan","agonsim.loser","AM"
"98Z","0L5","aggression","M","M","2018-04-25","DP","scan","agonsim.winner","AM"
"6M7","9I8","aggression","F","F","2018-04-25","DP","scan","agonsim.winner","PM"
"1E2","6D9","aggression","F","F","2018-04-25","DP","scan","agonsim.winner","PM"
"3M3","4F1","aggression","F","F","2018-04-25","DP","scan","agonsim.loser","PM"
"6M7","1C7","aggression","F","F","2018-04-26","DP","scan","agonsim.winner","AM"
"5K0","JF","aggression","M","M","2018-04-26","DP","scan","agonsim.winner","AM"
"27J","6L3","aggression","M","M","2018-04-26","DP","scan","agonsim.winner","AM"
"2C4","9I8","aggression","F","M","2018-04-26","DP","scan","agonsim.winner","AM"
"6L3","8C9","aggression","M","M","2018-04-26","DP","scan","agonsim.loser","AM"
"5H4","7I8","aggression","F","F","2018-04-26","DP","scan","agonsim.loser","AM"
"6L3","6M7","aggression","F","F","2018-04-26","DP","scan","agonsim.loser","AM"
"9N6","83Z","aggression","F","F","2018-04-27","DP","scan","agonsim.winner","AM"
"46Z","8I9","aggression","M","M","2018-04-27","DP","scan","agonsim.winner","AM"
"76J","0K8","aggression","F","M","2018-04-27","DP","scan","agonsim.winner","AM"
"5L3","9H9","aggression","M","M","2018-04-27","DP","scan","agonsim.winner","AM"
"1J8","1C5","aggression","F","M","2018-04-27","DP","scan","agonsim.winner","AM"
"0L5","3E4","aggression","M","M","2018-04-27","DP","scan","agonsim.winner","AM"
"27N","2J7","aggression","M","F","2018-04-27","DP","scan","agonsim.winner","AM"
"3E4","31S","aggression","F","M","2018-04-27","DP","scan","agonsim.winner","AM"
"5H4","2C4","aggression","F","M","2018-04-27","DP","scan","agonsim.winner","PM"
"8L3","7I8","aggression","F","F","2018-04-27","DP","scan","agonsim.winner","PM"
"6C2","2C4","aggression","F","F","2018-04-27","DP","scan","agonsim.winner","PM"
"51V","0J5","aggression","F","F","2018-04-27","DP","scan","agonsim.loser","AM"
"4L7","2M4","aggression","M","M","2018-04-27","DP","scan","agonsim.loser","AM"
"60R","1C5","aggression","F","F","2018-04-27","DP","scan","agonsim.loser","AM"
"JM","24V","aggression","F","F","2018-04-27","DP","scan","agonsim.loser","AM"
"7D7","6D6","aggression","F","F","2018-04-27","DP","scan","agonsim.loser","AM"
"JM","6D4","aggression","F","F","2018-04-27","DP","scan","agonsim.loser","PM"
"2F2","51V","aggression","F","M","2018-04-30","DP","scan","agonsim.winner","AM"
"6C2","73Z","aggression","F","F","2018-04-30","DP","scan","agonsim.winner","AM"
"0M6","9L9","aggression","F","F","2018-04-30","DP","scan","agonsim.winner","PM"
"46Z","JM","aggression","M","M","2018-04-30","DP","scan","agonsim.winner","PM"
"98Z","1E2","aggression","F","F","2018-04-30","DP","scan","agonsim.loser","AM"
"JM","3F5","aggression","F","F","2018-04-30","DP","scan","agonsim.loser","AM"
"4D8","9L9","aggression","F","F","2018-04-30","DP","scan","agonsim.loser","AM"
"6L1","1L1","aggression","F","M","2018-04-30","DP","scan","agonsim.loser","PM"
"98Z","2F2","aggression","F","M","2018-04-30","DP","scan","agonsim.loser","AM"
"6M7","9I8","aggression","F","F","2018-05-02","DP","scan","agonsim.winner","AM"
"27J","86Z","aggression","M","M","2018-05-02","DP","scan","agonsim.winner","AM"
"0J5","4L7","aggression","F","F","2018-05-02","DP","scan","agonsim.winner","AM"
"4F1","7J7","aggression","F","F","2018-05-02","DP","scan","agonsim.winner","AM"
"1L1","37V","aggression","F","M","2018-05-02","DP","scan","agonsim.winner","PM"
"1C5","JUV","aggression","F","F","2018-05-02","DP","scan","agonsim.winner","PM"
"24V","9N6","aggression","F","F","2018-05-02","DP","scan","agonsim.winner","PM"
"93O","JF","aggression","F","F","2018-05-02","DP","scan","agonsim.winner","PM"
"JF","4F1","aggression","F","F","2018-05-02","DP","scan","agonsim.loser","AM"
"5J3","1C7","aggression",NA,"M","2018-05-02","DP","scan","agonsim.loser","AM"
"42T","9I8","aggression","F","F","2018-05-02","DP","scan","agonsim.loser","AM"
"73Z","86Z","aggression","F","M","2018-05-02","DP","scan","agonsim.loser","AM"
"1C2","5L3","aggression","M","M","2018-05-02","DP","scan","agonsim.loser","PM"
"24V","1E2","aggression","F","F","2018-05-03","DP","scan","agonsim.winner","AM"
"3F7","INF","aggression","F","M","2018-05-03","DP","scan","agonsim.winner","AM"
"6L4","6M7","aggression","M","M","2018-05-03","DP","scan","agonsim.winner","AM"
