id,well_id,crp_level,run_num,plaque_num,Date
4L8,19,1.017,2,1,9/13/2019
2S6,20,0.14,2,1,9/13/2019
77S,21,0.184,2,1,9/13/2019
77S,22,0,2,1,9/13/2019
5N1,23,1.392,2,1,9/13/2019
9N0,24,0.479,2,1,9/13/2019
5R9,25,2.785,2,1,9/13/2019
2C0,26,0.327,2,1,9/13/2019
4J6,27,0.915,2,1,9/13/2019
8L6,28,0.052,2,1,9/13/2019
2Q2,29,0.286,2,1,9/13/2019
22H,30,0,2,1,9/13/2019
3Q5,31,3.08,2,1,9/13/2019
4J0,32,1.773,2,1,9/13/2019
9O0,33,2.585,2,1,9/13/2019
7L0,34,0.973,2,1,9/13/2019
6R4,35,0.562,2,1,9/13/2019
4N7,36,1.062,2,1,9/13/2019
I1755R,37,0.41,2,1,9/13/2019
43N,38,0,2,1,9/13/2019
65Z,39,0.968,2,1,9/13/2019
8 E2,40,1.689,2,1,9/13/2019
62S,1,0,2,2,11/10/2019
3R3,2,0.273,2,2,11/10/2019
2C7,3,0.25,2,2,11/10/2019
1B7,4,0.33,2,2,11/10/2019
5I9,5,0.626,2,2,11/10/2019
I198I9,6,0.395,2,2,11/10/2019
I1765Z,7,0.529,2,2,11/10/2019
65Z,8,0.621,2,2,11/10/2019
8O9,9,0.515,2,2,11/10/2019
4M9,10,0,2,2,11/10/2019
4L7,11,0.411,2,2,11/10/2019
8S7,12,0.244,2,2,11/10/2019
4R7,13,0,2,2,11/10/2019
8H2,14,0.378,2,2,11/10/2019
2R9,15,0,2,2,11/10/2019
1S8,16,0.55,2,2,11/10/2019
73Z,17,0,2,2,11/10/2019
7S5,18,1.627,2,2,11/10/2019
4R3,19,0,2,2,11/10/2019
I194R4,20,0.924,2,2,11/10/2019
1T5,21,1.282,2,2,11/10/2019
5I5,22,0.773,2,2,11/10/2019
I1960R,23,0.744,2,2,11/10/2019
60R,24,0.408,2,2,11/10/2019
31S,25,0.21,2,2,11/10/2019
I194M9,26,1.269,2,2,11/10/2019
1C7,27,0.868,2,2,11/10/2019
1T7,28,1.277,2,2,11/10/2019
1R1,29,0.713,2,2,11/10/2019
3R1,30,0.178,2,2,11/10/2019
49V,31,0.453,2,2,11/10/2019
42T,32,0.529,2,2,11/10/2019
3O7,33,0.889,2,2,11/10/2019
2T2,34,0.266,2,2,11/10/2019
I177L7,35,0.328,2,2,11/10/2019
6L4,36,0.442,2,2,11/10/2019
7O3,37,0.138,2,2,11/10/2019
3F7,38,0,2,2,11/10/2019
2F2,1,0,2,3,11/25/2019
I172C0,2,0,2,3,11/25/2019
3F5,3,0,2,3,11/25/2019
I193F7,4,0.401,2,3,11/25/2019
I193F5,5,0,2,3,11/25/2019
I197I8,6,0.446,2,3,11/25/2019
6O7,7,0.093,2,3,11/25/2019
I191R1,8,0.001,2,3,11/25/2019
93O,9,0.133,2,3,11/25/2019
1M8,10,0.428,2,3,11/25/2019
9I8,11,0.38,2,3,11/25/2019
1C5,12,0.167,2,3,11/25/2019
5S1,13,0,2,3,11/25/2019
37V,14,1.401,2,3,11/25/2019
98Z,15,0.916,2,3,11/25/2019
6M7,16,0.068,2,3,11/25/2019
I194F1,17,0.276,2,3,11/25/2019
1O9,18,0.349,2,3,11/25/2019
6B4,19,1,2,3,11/25/2019
I176B4,20,0.187,2,3,11/25/2019
4D8,21,0.176,2,3,11/25/2019
4F1,22,0.396,2,3,11/25/2019
2C4,23,0.346,2,3,11/25/2019
8L3,24,0,2,3,11/25/2019
I196L1,25,0.454,2,3,11/25/2019
3O3,26,0.402,2,3,11/25/2019
I198L3,27,0.339,2,3,11/25/2019
5L3,28,0.458,2,3,11/25/2019
44V,29,0.117,2,3,11/25/2019
9L9,30,0.764,2,3,11/25/2019
I1951V,31,0.236,2,3,11/25/2019
0L5,32,0,2,3,11/25/2019
4J3,33,0.425,2,3,11/25/2019
7L7,34,0.384,2,3,11/25/2019
1T9,35,0,2,3,11/25/2019
4R4,36,0.268,2,3,11/25/2019
5S3,37,0.394,2,3,11/25/2019
2T5,38,0.725,2,3,11/25/2019
6H6,1,2.341,1,4,2/16/2020
1 E2,2,2.662,1,4,2/16/2020
6D4,3,0.399,1,4,2/16/2020
5H7,4,0,1,4,2/16/2020
0B9,5,0,1,4,2/16/2020
16S,6,0.045,1,4,2/16/2020
3A9,7,0,1,4,2/16/2020
8C9,8,0,1,4,2/16/2020
9C6,9,0,1,4,2/16/2020
2K0,10,0,1,4,2/16/2020
56K,11,0,1,4,2/16/2020
7I8,12,0,1,4,2/16/2020
5I5,13,0,1,4,2/16/2020
I191E2,14,0.099,1,4,2/16/2020
I191L1,15,3.979,1,4,2/16/2020
I172E9,16,0,1,4,2/16/2020
0Q5,17,0.356,1,4,2/16/2020
I193Q3,18,0.32,1,4,2/16/2020
3Q3,19,0.039,1,4,2/16/2020
5M5,20,0,1,4,2/16/2020
65Z,21,0,1,4,2/16/2020
3M3,22,0.423,1,4,2/16/2020
1P4,23,5.685,1,4,2/16/2020
3R9,24,0.526,1,4,2/16/2020
4Q4,25,0,1,4,2/16/2020
4P6,26,0,1,4,2/16/2020
8T4,27,0.071,1,4,2/16/2020
8H2,28,0,1,4,2/16/2020
6U6,29,0,1,4,2/16/2020
4T4,30,0,1,4,2/16/2020
4S8,31,0.766,1,4,2/16/2020
8T5,32,0,1,4,2/16/2020
3P7,33,0,1,4,2/16/2020
3R7,34,0,1,4,2/16/2020
4S0,35,0,1,4,2/16/2020
1Q8,36,0,1,4,2/16/2020
6R9,37,0,1,4,2/16/2020
4L7,38,0.217,1,4,2/16/2020
6H6,1,1.733,2,4,2/16/2020
1 E2,2,3.231,2,4,2/16/2020
6D4,3,0.433,2,4,2/16/2020
5H7,4,0,2,4,2/16/2020
0B9,5,0.012,2,4,2/16/2020
16S,6,0.036,2,4,2/16/2020
3A9,7,0,2,4,2/16/2020
8C9,8,0,2,4,2/16/2020
9C6,9,0,2,4,2/16/2020
2K0,10,0,2,4,2/16/2020
56K,11,0,2,4,2/16/2020
7I8,12,0,2,4,2/16/2020
5I5,13,0,2,4,2/16/2020
I191E2,14,0.257,2,4,2/16/2020
I191L1,15,3.617,2,4,2/16/2020
I172E9,16,0,2,4,2/16/2020
0Q5,17,0.259,2,4,2/16/2020
I193Q3,18,0.323,2,4,2/16/2020
3Q3,19,0,2,4,2/16/2020
5M5,20,0,2,4,2/16/2020
65Z,21,0,2,4,2/16/2020
3M3,22,0.347,2,4,2/16/2020
1P4,23,6.263,2,4,2/16/2020
3R9,24,0.471,2,4,2/16/2020
4Q4,25,0,2,4,2/16/2020
4P6,26,0,2,4,2/16/2020
8T4,27,0.041,2,4,2/16/2020
8H2,28,0,2,4,2/16/2020
6U6,29,0,2,4,2/16/2020
4T4,30,0,2,4,2/16/2020
4S8,31,0.684,2,4,2/16/2020
8T5,32,0,2,4,2/16/2020
3P7,33,0,2,4,2/16/2020
3R7,34,0,2,4,2/16/2020
4S0,35,0.603,2,4,2/16/2020
1Q8,36,0,2,4,2/16/2020
6R9,37,0,2,4,2/16/2020
4L7,38,0.184,2,4,2/16/2020
