animal	SEX	group 	birthseason	year	Idcode	notes	IDYEAR	obs/yr
73S	m	R	2003	2016	7319		73S2016	0.666666667
73S	m	V	2003	2017	7319		73S2017	3.333333333
73V	M	V	2004	2015	7322		73V2015	4.5
73V	m	V	2004	2016	7322		73V2016	2.833333333
73V	m	R	2004	2016	7322		73V2016	2
73Z	M	KK	2005	2015	7326		73Z2015	5.333333333
73Z	m	KK	2005	2017	7326		73Z2017	1.916666667
74K	F	S	1999	2011	7411		74K2011	5.5
74S	F	F	2003	2012	7419		74S2012	3.333333333
74S	F	F	2003	2010	7419		74S2010	4.333333333
74S	F	F	2003	2011	7419		74S2011	5.166666667
74S	F	F	2003	2013	7419		74S2013	6
74T	F	KK	2003	2013	7420		74T2013	10.83333333
76J	F	KK	1999	2015	7610		76J2015	5.5
76J	F	KK	1999	2013	7610		76J2013	10.83333333
76J	f	KK	1999	2017	7610		76J2017	1.916666667
76L	f	R	2000	2015	7612		76L2015	4
76L	f	R	2000	2016	7612		76L2016	4.833333333
76Z	M	HH	2005	2014	7626		76Z2014	8
77I	M	V	1998	2015	7709		77I2015	4.5
77I	M	F	1998	2011	7709		77I2011	5.166666667
77I	m	V	1998	2016	7709		77I2016	6.166666667
77I	m	V	1998	2017	7709		77I2017	3.166666667
77S	F	HH	2003	2014	7719		77S2014	12.5
77S	f	HH	2003	2016	7719	rapid data collection protocol - culled group in Oct 2016	77S2016	1.416666667
77V	f	R	2004	2015	7722		77V2015	4
77V	f	R	2004	2016	7722		77V2016	4.666666667
78I	F	V	1998	2015	7809		78I2015	4.5
78I	f	V	1998	2016	7809		78I2016	6.333333333
78I	f	V	1998	2017	7809		78I2017	3.166666667
78T	F	F	2003	2015	7820		78T2015	6
78T	F	F	2003	2010	7820		78T2010	3.833333333
78T	F	F	2003	2011	7820		78T2011	5.166666667
78T	F	F	2003	2014	7820		78T2014	9
78T	F	F	2003	2016	7820		78T2016	6.5
78T	f	F	2003	2017	7820		78T2017	4
79C	F	F	1994	2011	7903	died	79C2011	3.333333333
79C	F	F	1994	2010	7903		79C2010	4
79Z	F	F	2005	2015	7926		79Z2015	6
79Z	F	F	2005	2012	7926		79Z2012	3.666666667
79Z	F	F	2005	2011	7926		79Z2011	5
79Z	F	F	2005	2013	7926		79Z2013	9.833333333
79Z	F	F	2005	2014	7926		79Z2014	8.333333333
79Z	F	F	2005	2016	7926		79Z2016	6.333333333
79Z	f	F	2005	2017	7926		79Z2017	4.166666667
7A2	M	V	2005	2015	7012		7A22015	1.666666667
7A2	m	V	2005	2016	7012		7A22016	6.333333333
7A2	m	V	2005	2017	7012		7A22017	1
7A6	f	R	2005	2015	7016		7A62015	4
7A6	f	R	2005	2016	7016		7A62016	4.833333333
7A8	f	R	2005	2015	7018		7A82015	3.833333333
7A8	f	R	2005	2016	7018		7A82016	4.833333333
7A9	F	S	2005	2011	7019		7A92011	5
7B2	m	R	2006	2015	7022		7B22015	2.833333333
7B2	M	F	2006	2013	7022		7B22013	6.666666667
7B2	M	F	2006	2014	7022		7B22014	8.5
7B2	m	R	2006	2016	7022		7B22016	4.666666667
7B3	m	R	2006	2015	7023		7B32015	4
7B3	M	F	2006	2012	7023		7B32012	3.666666667
7B3	M	F	2006	2014	7023		7B32014	0.5
7B3	m	R	2006	2016	7023		7B32016	0.666666667
7B7	F	F	2006	2015	7027		7B72015	5.833333333
7B7	F	F	2006	2012	7027		7B72012	3.5
7B7	F	F	2006	2013	7027		7B72013	9.666666667
7B7	F	F	2006	2014	7027		7B72014	8.666666667
7B7	F	F	2006	2016	7027		7B72016	6.666666667
7B7	f	F	2006	2017	7027		7B72017	4.333333333
7C0	F	F	2006	2015	7030		7C02015	5.666666667
7C0	F	F	2006	2012	7030		7C02012	3.5
7C0	F	F	2006	2013	7030		7C02013	9.666666667
7C0	F	F	2006	2014	7030		7C02014	8.666666667
7C0	F	F	2006	2016	7030		7C02016	6.333333333
7C0	f	F	2006	2017	7030		7C02017	4.333333333
7C4	F	V	2006	2015	7034		7C42015	4.666666667
7C4	f	V	2006	2016	7034		7C42016	6.166666667
7C4	f	V	2006	2017	7034		7C42017	3.166666667
7C8	f	R	2007	2015	7038		7C82015	4
7C8	f	R	2007	2016	7038		7C82016	4.833333333
7D7	M	F	2007	2015	7047		7D72015	6
7D7	M	F	2007	2014	7047		7D72014	8.166666667
7D7	M	F	2007	2016	7047		7D72016	6.5
7D7	m	F	2007	2017	7047		7D72017	4.333333333
7D8	F	F	2007	2015	7048		7D82015	6.166666667
7D8	F	F	2000	2013	7048		7D82013	9.666666667
7D8	F	F	2007	2014	7048		7D82014	8.5
7D8	F	F	2007	2016	7048		7D82016	6.666666667
7D8	f	F	2007	2017	7048		7D82017	4
7E0	f	HH	2007	2016	7050	rapid data collection protocol - culled group in Oct 2016	7E02016	1.333333333
7E1	m	F	2008	2016	7051		7E12016	2
7E3	f	HH	2007	2016	7053	rapid data collection protocol - culled group in Oct 2016	7E32016	1.5
7F0	F	KK	2008	2015	7060		7F02015	5.5
7F0	f	KK	2008	2017	7060		7F02017	1.833333333
7F2	f	R	2008	2015	7062		7F22015	4.333333333
7F2	f	R	2008	2016	7062		7F22016	4.666666667
7F5	M	V	2008	2015	7065		7F52015	4.5
7F5	m	V	2008	2016	7065		7F52016	6.166666667
7F5	m	V	2008	2017	7065		7F52017	3.166666667
7F7	f	R	2008	2015	7067		7F72015	4
7F7	f	R	2008	2016	7067		7F72016	4.666666667
7G1	M	F	2009	2016	7071		7G12016	0.333333333
7G1	M	F	2009	2015	7071		7G12015	5.833333333
7G1	m	V	2009	2016	7071		7G12016	5.333333333
7G1	m	V	2009	2017	7071		7G12017	3.166666667
7G2	M	F	2009	2015	7072		7G22015	6.166666667
7G2	M	F	2009	2016	7072		7G22016	6.333333333
7G2	m	F	2009	2017	7072		7G22017	4.166666667
7H0	M	F	2009	2015	7080		7H02015	0.166666667
7H9	M	F	2009	2015	7089		7H92015	3
7H9	m	R	2009	2016	7089		7H92016	4.833333333
7I5	M	F	2010	2016	7095		7I52016	6.5
7I5	m	F	2010	2017	7095		7I52017	4.166666667
7I8	f	KK	2010	2017	7098		7I82017	1.833333333
7J0	m	R	2010	2016	7100		7J02016	2
7J6	m	F	2010	2017	7106		7J62017	2.666666667
7J7	f	KK	2010	2017	7107		7J72017	1.916666667
7J8	F	F	2010	2016	7108		7J82016	6.666666667
7J8	f	F	2010	2017	7108		7J82017	4.333333333
7K8	f	V	2011	2017	7118		7K82017	3.333333333
7L0	f	HH	2010	2016	7120	rapid data collection protocol - culled group in Oct 2016	7L02016	1.416666667
7L7	f	HH	2010	2016	7127	rapid data collection protocol - culled group in Oct 2016	7L72016	1.416666667
7L8	m	V	2011	2017	7128		7L82017	1.333333333
7O3	m	KK	2013	2017	7153		7O32017	1
7Q3	f	KK	2014	2017	7173		7Q32017	0.916666667
8_E2	F	HH	2008	2014	8052	8E2	8_E22014	8.166666667
8_E8	F	F	2008	2015	8058	8E8	8_E82015	6
8_E8	F	F	2008	2014	8058	8E8	8_E82014	8.666666667
80S	F	HH	2003	2014	8019		80S2014	8
80S	f	HH	2002	2016	8019	rapid data collection protocol - culled group in Oct 2016	80S2016	1.5
80T	M	V	2003	2015	8020		80T2015	3
80T	M	F	2003	2010	8020	emigrated	80T2010	2.5
80T	M	F	2003	2012	8020		80T2012	3.666666667
80T	M	F	2003	2011	8020		80T2011	5.166666667
81E	F	V	1996	2015	8105		81E2015	4.666666667
81I	F	S	1998	2011	8109		81I2011	5.5
81O	M	V	2001	2015	8115		81O2015	4.5
81O	M	F	2001	2010	8115		81O2010	4.333333333
81O	M	F	2001	2011	8115		81O2011	
81O	m	V	2001	2016	8115		81O2016	6.166666667
81O	m	V	2001	2017	8115		81O2017	3
82A	F	F	1993	2015	8201		82A2015	5.833333333
82A	F	F	1993	2012	8201		82A2012	3.833333333
82A	F	F	1993	2010	8201		82A2010	4.333333333
82A	F	F	1993	2011	8201		82A2011	5
82A	F	F	1993	2013	8201		82A2013	10
82A	F	F	1993	2014	8201		82A2014	8.166666667
82A	F	F	1993	2016	8201		82A2016	6.5
82A	f	F	1993	2017	8201		82A2017	4.333333333
82L	F	F	2000	2015	8212		82L2015	6.166666667
82L	F	F	2000	2010	8212		82L2010	3.5
82L	F	F	2000	2012	8212		82L2012	3.833333333
82L	F	F	2000	2011	8212		82L2011	5
82L	F	F	2000	2013	8212		82L2013	9.333333333
82L	F	F	2000	2014	8212		82L2014	7.833333333
82L	F	F	2000	2016	8212		82L2016	6.333333333
82L	f	F	2000	2017	8212		82L2017	4
82V	F	S	2004	2011	8222		82V2011	4.833333333
82Z	F	S	2005	2011	8226		82Z2011	5
83Z	F	KK	2005	2015	8326		83Z2015	5.333333333
83Z	F	KK	2005	2013	8326		83Z2013	10.83333333
83Z	f	KK	2005	2017	8326		83Z2017	1.916666667
84E	m	R	1996	2015	8405		84E2015	4
84E	m	R	1996	2016	8405		84E2016	5
84J	M	F	1999	2015	8410		84J2015	1.666666667
84J	M	F	1999	2010	8410		84J2010	4.333333333
84J	M	F	1999	2012	8410		84J2012	
84J	m	R	1999	2016	8410		84J2016	5.5
84J	m	F	1999	2017	8410		84J2017	3
85B	M	F	1994	2010	8502		85B2010	4
85B	M	F	1994	2011	8502		85B2011	5
85T	F	V	2004	2015	8520		85T2015	4.666666667
85T	f	V	2004	2016	8520		85T2016	6
85T	f	V	2004	2017	8520		85T2017	3.333333333
85V	f	R	2004	2015	8522		85V2015	4
85V	f	R	2004	2016	8522		85V2016	5
86Z	F	KK	2005	2015	8626		86Z2015	5.5
86Z	F	KK	2005	2013	8626		86Z2013	10.66666667
86Z	f	KK	2005	2017	8626		86Z2017	1.833333333
87F	f	R	1996	2015	8706		87F2015	4
87F	f	R	1996	2016	8706		87F2016	4.666666667
87K	F	F	1999	2016	8711		87K2016	1
87K	F	F	1999	2015	8711		87K2015	1
87K	F	F	1999	2012	8711		87K2012	3.666666667
87K	F	F	1999	2010	8711		87K2010	4.333333333
87K	F	F	1999	2011	8711		87K2011	5.166666667
87K	F	F	1999	2013	8711		87K2013	9.333333333
87K	F	F	1999	2014	8711		87K2014	8.333333333
88I	F	F	1998	2012	8809		88I2012	3.666666667
88I	F	F	1998	2010	8809		88I2010	4
88I	F	F	1998	2011	8809		88I2011	5
88I	F	F	1998	2013	8809		88I2013	5.833333333
88N	F	S	2000	2011	8814		88N2011	5.333333333
88T	M	F	2004	2015	8820		88T2015	0.333333333
88T	m	R	2004	2015	8820	0.33 hrs of observation in grpF in 2015	88T2015	3
88T	M	F	2004	2012	8820		88T2012	3.666666667
88T	M	F	1993	2013	8820		88T2013	8.666666667
88T	M	F	2004	2014	8820		88T2014	3.166666667
88T	m	R	2004	2016	8820		88T2016	4.666666667
88V	M	S	2004	2011	8822		88V2011	5.333333333
89K	f	R	1999	2015	8911		89K2015	4
89K	f	R	1999	2016	8911		89K2016	5
8A3	f	R	2005	2015	8013		8A32015	4
8A3	f	R	2005	2016	8013		8A32016	4.833333333
8A5	f	R	2005	2015	8015		8A52015	4
8A5	f	R	2005	2016	8015		8A52016	4.833333333
8A7	M	V	2005	2015	8017		8A72015	3
8A7	M	F	2005	2012	8017		8A72012	3.5
8A7	M	F	2005	2011	8017		8A72011	5
8A7	M	F	2005	2013	8017		8A72013	9.333333333
8A9	M	F	2005	2016	8019		8A92016	0.5
8A9	M	F	2005	2015	8019		8A92015	2
8A9	m	V	2005	2016	8019		8A92016	5.333333333
8B0	F	F	2006	2015	8020		8B02015	6
8B0	F	F	2006	2012	8020		8B02012	3.5
8B0	F	F	2006	2013	8020		8B02013	9.5
8B0	F	F	2006	2014	8020		8B02014	8.166666667
8B0	F	F	2006	2016	8020		8B02016	6.5
8B0	f	F	2006	2017	8020		8B02017	3.833333333
8B5	m	F	2006	2016	8025		8B52016	0.5
8B5	m	R	2006	2015	8025		8B52015	4
8B5	M	F	2006	2012	8025		8B52012	3.5
8B5	M	F	2006	2013	8025		8B52013	6.5
8B5	M	F	2006	2014	8025		8B52014	0.833333333
8B5	m	R	2006	2016	8025		8B52016	4.833333333
8C0	M	F	2007	2015	8030		8C02015	6
8C0	M	F	2000	2013	8030		8C02013	9.666666667
8C0	M	F	2007	2014	8030		8C02014	8.333333333
8C0	M	F	2007	2016	8030		8C02016	6.5
8C0	m	F	2007	2017	8030		8C02017	4.333333333
8C2	M	F	2001	2015	8032		8C22015	4
8C2	M	F	2001	2013	8032		8C22013	4.166666667
8C2	M	F	2007	2016	8032		8C22016	6.5
8C2	m	F	2007	2017	8032		8C22017	3.833333333
8C3	M	F	2007	2015	8033		8C32015	6
8C3	M	F	2007	2014	8033		8C32014	6.166666667
8C3	m	R	2007	2016	8033		8C32016	4.166666667
8C9	M	F	2007	2016	8039		8C92016	2.833333333
8C9	M	V	2007	2015	8039		8C92015	3.166666667
8C9	M	F	2002	2013	8039		8C92013	4.333333333
8C9	m	KK	2007	2017	8039		8C92017	1.833333333
8D2	M	V	2007	2015	8042		8D22015	2.833333333
8D2	m	R	2007	2015	8042		8D22015	0.833333333
8D2	m	R	2007	2016	8042		8D22016	4
8D3	M	V	2007	2015	8043		8D32015	3.666666667
8D6	m	R	2007	2015	8046		8D62015	4
8D6	m	R	2007	2016	8046		8D62016	4.5
8D8	M	V	2007	2015	8048		8D82015	2.5
8D8	m	R	2007	2015	8048		8D82015	0.666666667
8D8	m	V	2007	2016	8048		8D82016	6.166666667
8D8	m	V	2007	2017	8048		8D82017	0.166666667
8E2	f	HH	2007	2016	8052	rapid data collection protocol - culled group in Oct 2016	8E22016	1.5
8E8	F	F	2008	2016	8058		8E82016	6.5
8E8	f	F	2008	2017	8058		8E82017	4.333333333
8F0	f	R	2008	2015	8060		8F02015	4
8F0	f	R	2008	2016	8060		8F02016	4.833333333
8F3	F	F	2008	2015	8063		8F32015	6
8F3	F	F	2008	2014	8063		8F32014	8.5
8F3	F	F	2008	2016	8063		8F32016	6.5
8F3	f	F	2008	2017	8063		8F32017	4.333333333
8H0	M	F	2009	2016	8080		8H02016	3.833333333
8H0	m	F	2009	2017	8080		8H02017	4.333333333
8H2	m	R	2009	2015	8082		8H22015	2
8H2	m	R	2009	2016	8082		8H22016	4.833333333
8I9	f	KK	2010	2017	8099		8I92017	1.916666667
8J3	m	F	2010	2016	8093		8J32016	4
8J3	m	V	2010	2017	8093		8J32017	3.166666667
8J6	F	F	2010	2016	8106		8J62016	6.333333333
8J6	f	F	2010	2017	8106		8J62017	4.333333333
8J8	F	F	2010	2016	8108		8J82016	6.666666667
8J8	f	F	2010	2017	8108		8J82017	4.333333333
8K1	m	V	2011	2017	8111		8K12017	3.5
8K7	f	HH	2010	2016	8117	rapid data collection protocol - culled group in Oct 2016	8K72016	1.5
8L3	f	KK	2011	2017	8129		8L32017	1.75
8L6	m	HH	2010	2016	8126	rapid data collection protocol - culled group in Oct 2016	8L62016	1.5
8O9	f	KK	2013	2017	8159		8O92017	0.833333333
9_E3	M	F	2008	2014	9053	9E3	9_E32014	0.166666667
9_E5	M	F	2008	2015	9055	9E5	9_E52015	6
9_E5	M	F	2008	2014	9055	9E5	9_E52014	8.666666667
9_E6	M	F	2008	2015	9056	9E6	9_E62015	5.833333333
9_E6	M	F	2008	2014	9056	9E6	9_E62014	8.666666667
9_E7	m	R	2008	2015	9057	9e7	9_E72015	2
9_E8	F	V	2008	2015	9058	9E8	9_E82015	4.5
90D	F	F	1995	2010	9004		90D2010	3.833333333
90D	F	F	1995	2012	9004		90D2012	4
90D	F	F	1995	2011	9004		90D2011	5
90D	F	F	1995	2013	9004		90D2013	9.166666667
90D	F	F	1995	2014	9004		90D2014	8.5
90T	F	V	2004	2015	9020		90T2015	4.5
90T	f	V	2004	2016	9020		90T2016	6.166666667
90T	f	V	2004	2017	9020		90T2017	3
91O	M	F	2001	2015	9115		91O2015	5.666666667
91O	M	F	2001	2011	9115	emigrated	91O2011	3
91O	M	F	2001	2016	9115		91O2016	6.5
91V	f	R	2004	2015	9122		91V2015	4
91V	f	R	2004	2016	9122		91V2016	4.833333333
92D	F	F	1995	2015	9204		92D2015	5.833333333
92D	F	F	1995	2012	9204		92D2012	3.5
92D	F	F	1995	2010	9204		92D2010	4.166666667
92D	F	F	1995	2011	9204		92D2011	5
92D	F	F	1995	2013	9204		92D2013	9.333333333
92D	F	F	1995	2014	9204		92D2014	8.5
92D	F	F	1995	2016	9204		92D2016	6.5
92D	f	F	1995	2017	9204		92D2017	4.166666667
93I	f	R	1998	2015	9309		93I2015	4
93I	f	R	1998	2016	9309		93I2016	4.833333333
93O	F	KK	2001	2015	9315		93O2015	5.5
93O	F	KK	2001	2013	9315		93O2013	10.83333333
93O	f	KK	2001	2017	9315		93O2017	1.833333333
93R	m	R	2002	2015	9318		93R2015	4
93R	m	R	2002	2016	9318		93R2016	5
93T	F	V	2004	2015	9320		93T2015	4.5
93T	f	V	2004	2016	9320		93T2016	6.166666667
93T	f	V	2004	2017	9320		93T2017	3.333333333
93Z	F	F	2005	2016	9326		93Z2016	1
93Z	F	F	2005	2015	9326		93Z2015	0.833333333
93Z	F	F	2005	2012	9326		93Z2012	3.833333333
93Z	F	F	2005	2011	9326		93Z2011	5.166666667
93Z	F	F	2005	2013	9326		93Z2013	9.5
93Z	F	F	2005	2014	9326		93Z2014	8.333333333
94H	M	KK	1998	2015	9408		94H2015	5.5
94H	m	KK	1998	2017	9408		94H2017	1.916666667
94O	M	HH	2001	2014	9415		94O2014	8
94O	m	HH	2000	2016	9415	rapid data collection protocol - culled group in Oct 2016	94O2016	1.5
94S	F	HH	2003	2014	9419		94S2014	7.833333333
94S	f	HH	2002	2016	9419	rapid data collection protocol - culled group in Oct 2016	94S2016	1.5
94Z	M	F	2005	2015	9426		94Z2015	2
94Z	m	R	2005	2015	9426		94Z2015	2
94Z	M	F	2005	2016	9426		94Z2016	5.333333333
95V	f	R	2004	2015	9522		95V2015	4
95V	f	R	2004	2016	9522		95V2016	4.5
96B	M	F	1994	2015	9602		96B2015	5.833333333
96B	M	F	1994	2012	9602		96B2012	3.666666667
96B	M	F	1994	2010	9602		96B2010	3.833333333
96B	M	F	1994	2011	9602		96B2011	5
96B	M	F	1994	2013	9602		96B2013	9.666666667
96B	M	F	1994	2014	9602		96B2014	8.333333333
96B	M	F	1994	2016	9602		96B2016	6.333333333
96B	m	F	1994	2017	9602		96B2017	3.833333333
96T	M	F	2004	2011	9620		96T2011	?
96T	M	F	2004	2010	9620		96T2010	5
96Z	M	F	2005	2012	9626		96Z2012	3.666666667
96Z	M	F	2005	2013	9626		96Z2013	9
96Z	M	F	2005	2011	9626		96Z2011	5
97R	F	S	2002	2011	9718		97R2011	5.166666667
97V	M	HH	2004	2014	9722		97V2014	8
97Z	M	KK	2005	2015	9726		97Z2015	5.166666667
97Z	m	KK	2005	2017	9726		97Z2017	1.916666667
98J	F	V	1999	2015	9810		98J2015	4.5
98J	f	V	1999	2016	9810		98J2016	6
98J	f	V	1999	2017	9810		98J2017	3.333333333
98K	M	V	1999	2015	9811		98K2015	4.666666667
98K	m	V	1999	2016	9811		98K2016	6.333333333
98K	m	V	1999	2017	9811		98K2017	0.333333333
98K	m	F	1999	2017	9811		98K2017	1.666666667
98T	F	F	2004	2015	9820		98T2015	5.833333333
98T	F	F	2004	2012	9820		98T2012	3.666666667
98T	F	F	2004	2011	9820		98T2011	5
98T	F	F	2004	2013	9820		98T2013	9.833333333
98T	F	F	2004	2010	9820		98T2010	4.333333333
98T	F	F	2004	2014	9820		98T2014	8.166666667
98T	F	F	2004	2016	9820		98T2016	6.666666667
98T	f	F	2004	2017	9820		98T2017	4.333333333
98V	F	S	2004	2011	9822		98V2011	4.666666667
98Z	M	KK	2005	2015	9826		98Z2015	5.5
98Z	m	KK	2005	2017	9826		98Z2017	1.916666667
99L	M	KK	2000	2015	9912		99L2015	5.5
99L	m	KK	2000	2017	9912		99L2017	1.916666667
99V	M	F	2004	2010	9922		99V2010	
99z	f	R	2005	2015	9926		99z2015	4
99Z	f	R	2005	2016	9926		99Z2016	4.5
9A1	M	S	2005	2011	9011		9A12011	4.5
9A4	F	F	2005	2015	9014		9A42015	6
9A4	F	F	2005	2013	9014		9A42013	9.333333333
9A4	F	F	2005	2011	9014		9A42011	5.166666667
9A4	F	F	2005	2014	9014		9A42014	8.333333333
9A4	F	F	2005	2016	9014		9A42016	6.166666667
9A4	f	F	2005	2017	9014		9A42017	4
9C1	F	V	2007	2015	9031		9C12015	4.5
9C1	f	V	2007	2016	9031		9C12016	6.166666667
9C1	f	V	2007	2017	9031		9C12017	3.166666667
9C2	F	F	2007	2015	9032		9C22015	1
9C2	F	F	2000	2013	9032		9C22013	9.666666667
9C2	F	F	2007	2014	9032		9C22014	8.5
9C5	F	KK	2007	2015	9035		9C52015	4.166666667
9C5	F	KK	2007	2013	9035		9C52013	10.83333333
9C6	M	HH	2007	2014	9036		9C62014	6.666666667
9C6	m	HH	2006	2016	9036	rapid data collection protocol - culled group in Oct 2016	9C62016	1.416666667
9C8	M	KK	2007	2015	9038		9C82015	5.666666667
9D1	M	F	2007	2016	9042		9D12016	6.5
9D1	M	F	2007	2015	9041		9D12015	5.833333333
9D1	M	F	2000	2013	9041		9D12013	9.5
9D1	M	F	2007	2014	9041		9D12014	8.666666667
9D1	m	F	2007	2017	9041		9D12017	4.166666667
9D7	M	F	2007	2016	9047		9D72016	1
9D7	M	V	2007	2015	9047		9D72015	4.333333333
9D7	m	V	2007	2016	9047		9D72016	1.666666667
9D7	m	R	2007	2016	9047		9D72016	2.833333333
9D8	F	F	2007	2015	9048		9D82015	6
9D8	F	F	2000	2013	9048		9D82013	9.666666667
9D8	F	F	2007	2014	9048		9D82014	8.5
9D8	F	F	2007	2016	9048		9D82016	6.333333333
9D8	f	F	2007	2017	9048		9D82017	4.166666667
9E3	m	V	2008	2016	9053		9E32016	3.333333333
9E3	m	V	2008	2017	9053		9E32017	3.166666667
9E5	M	F	2008	2016	9055		9E52016	6.666666667
9E5	m	F	2008	2017	9055		9E52017	4.166666667
9E6	m	R	2008	2016	9056		9E62016	5
9E8	f	V	2008	2016	9058		9E82016	6.166666667
9E8	f	V	2008	2017	9058		9E82017	3.166666667
9F5	M	F	2008	2015	9065		9F52015	5.833333333
9F5	M	F	2008	2014	9065		9F52014	8.333333333
9F5	M	F	2008	2016	9065		9F52016	6.333333333
9F5	m	F	2008	2017	9065		9F52017	3.833333333
9F9	m	R	2008	2015	9069		9F92015	4
9F9	m	R	2008	2016	9069		9F92016	4.666666667
9G3	F	F	2009	2015	9073		9G32015	5.666666667
9G3	F	F	2009	2016	9073		9G32016	6.5
9G3	f	F	2009	2017	9073		9G32017	4
9H2	M	F	2009	2016	9082		9H22016	6.666666667
9H2	m	F	2009	2017	0		9H22017	4.333333333
9H2	M	F	2009	2015			9H22015	0.166666667
9H7	F	F	2009	2015	9087		9H72015	6
9H7	F	F	2009	2016	9087		9H72016	6.333333333
9H7	f	F	2009	2017	9087		9H72017	4.333333333
9H9	F	KK	2009	2015	9089		9H92015	5.333333333
9H9	f	KK	2009	2017	9089		9H92017	1.916666667
9I0	m	F	2010	2017	9090		9I02017	4.166666667
9I5	f	F	2010	2016	9095		9I52016	0.166666667
9I5	f	HH	2009	2016	9095	rapid data collection protocol - culled group in Oct 2016	9I52016	1.5
9I6	F	F	2010	2016	9096		9I62016	6.166666667
9I6	f	F	2010	2017	9096		9I62017	4.166666667
9I6	f	F	2010	2017	9096		9I62017	4.166666667
9I7	f	HH	2009	2016	9097	rapid data collection protocol - culled group in Oct 2016	9I72016	1.5
9I8	f	KK	2010	2017	9098		9I82017	1.916666667
9I9	m	V	2010	2016	9099		9I92016	6.166666667
9I9	m	V	2010	2017	9099		9I92017	3.333333333
9J3	m	R	2010	2016	9103		9J32016	2.166666667
9J5	f	R	2010	2016	9105		9J52016	4.833333333
9K9	m	V	2011	2017	9119		9K92017	3.333333333
9L9	f	KK	2011	2017	9129		9L92017	1.916666667
9N0	f	HH	2011	2016	9140	rapid data collection protocol - culled group in Oct 2016	9N02016	1.5
9N6	f	KK	2012	2017	9146		9N62017	0.75
9O0	m	HH	2012	2016	9150	rapid data collection protocol - culled group in Oct 2016	9O02016	1.5
9P5	f	HH	2012	2016	9165	rapid data collection protocol - culled group in Oct 2016	9P52016	1.416666667
9P6	m	HH	2012	2016	9166	rapid data collection protocol - culled group in Oct 2016	9P62016	1.5
9Q5	f	KK	2014	2017	9175		9Q52017	0.833333333
K00	F	F	1986	2012	1100		K002012	3.666666667
K00	F	F	1986	2011	1100		K002011	5.166666667
K00	F	F	1986	2013	1100		K002013	9.666666667
K00	F	F	1986	2010	1100		K002010	4.333333333
K00	F	F	1986	2014	1100		K002014	8.166666667
N12	F	F	1987	2011	1212		N122011	5
N12	F	F	1987	2010	1212		N122010	4.333333333
O34	M	F	1988	2011	1534	died	O342011	3.166666667
O34	M	F	1988	2010	1534		O342010	4.333333333
O52	F	F	1988	2012	1552		O522012	3.5
O52	F	F	1988	2011	1552		O522011	5
O52	F	F	1988	2013	1552		O522013	9.833333333
O52	F	F	1988	2010	1552		O522010	4.166666667
O52	F	F	1988	2014	1552		O522014	8.166666667
R65	F	F	1989	2011	1865	died	R652011	2.666666667
R65	F	F	1989	2010	1865		R652010	3.666666667
T03	F	V	1989	2015	2003		T032015	4.666666667
T03	f	V	1989	2016	2003		T032016	6.166666667
T03	f	V	1989	2017	2003		T032017	0.666666667
T53	M	F	1990	2010	2053		T532010	4.333333333
T83	F	S	1990	2011	2083		T832011	5.5
T84	F	S	1990	2011	2084		T842011	5.166666667
V36	F	F	1990	2011	2236		V362011	5
V36	F	F	1990	2010	2236		V362010	4.333333333
V80	F	HH	1991	2014	2280		V802014	7.833333333
V80	f	HH	1991	2016	2280	rapid data collection protocol - culled group in Oct 2016	V802016	1.416666667
V83	M	F		2012	2283		V832012	3.666666667
X44	F	F	1991	2012	2444		X442012	1.833333333
X44	F	F	1991	2011	2444		X442011	4.833333333
X44	F	F	1991	2010	2444		X442010	4.333333333
X58	M	F	1991	2011	2458		X582011	4.833333333
X58	M	F	1991	2010	2458		X582010	4.333333333
X83	f	R	1991	2015	2483		X832015	3.833333333
X83	f	R	1991	2016	2483		X832016	5
X91	f	R	1991	2015	2491		X912015	4
X91	f	R	1991	2016	2491		X912016	4.333333333
Z14	F	F	1992	2011	2614		Z142011	5
Z14	F	F	1992	2010	2614		Z142010	3.5
Z46	M	F	1992	2012	2646		Z462012	1.166666667
Z82	F	S	1992	2011	2682		Z822011	4.666666667
