,dens,dens.w,gini,gini.w,kcomm,clust.w,dens.f,dens.f.w,gini.f,gini.f.w,kcomm.f,clust.f.w,dens.m,dens.m.w,gini.m,gini.m.w,eo.FF,eo.MM,eo.cross,eo.ck,eo.dk,eo.u,kinDegree,group,isPost,quarter,netID
1471,0.028083028,1.722417204,0.407405638,0.368451112,10,0.115859307,0.036236119,1.215917475,0.358529251,0.341621703,9,0.127047426,0.019153226,0.061715333,0.600328947,0.609913793,1.309398673,0.43373948,0.86837081,14.11957051,0.987133778,0.549970453,0.234620252,groupKK,0,2,groupKK.0.2
1472,0.027960928,3.495106488,0.416334757,0.414798624,8,0.157137053,0.035067212,2.314430392,0.387853107,0.381441646,9,0.152704207,0.019153226,0.15322504,0.626644737,0.636719121,1.263682431,0.528385892,0.884936418,12.17245812,1.840218319,0.58989734,0.196766055,groupKK,0,2,groupKK.0.2
1473,0.029426129,2.554188034,0.400027359,0.378437231,11,0.122189993,0.035651666,1.625715956,0.344818005,0.335266131,10,0.103145952,0.02016129,0.108870968,0.60625,0.642361111,1.257329236,0.51362513,0.894571829,12.33259688,1.743368421,0.587476958,0.206095614,groupKK,0,2,groupKK.0.2
1474,0.029304029,2.578754579,0.418727106,0.379345654,10,0.151074151,0.0371128,1.796259497,0.379821166,0.343465471,9,0.149914821,0.022177419,0.1375,0.538352273,0.558467742,1.316335476,0.581676136,0.823219617,12.76828667,1.642512397,0.575630315,0.213376446,groupKK,0,2,groupKK.0.2
1475,0.025518926,3.955433455,0.433145802,0.43707905,8,0.154130377,0.033606078,2.822910579,0.36890199,0.3791364,8,0.134397871,0.018145161,0.199596774,0.652777778,0.674715909,1.29703437,0.585913111,0.839598141,11.77114428,1.971666667,0.599562198,0.193389881,groupKK,0,2,groupKK.0.2
1476,0.027472527,3.296693956,0.39980464,0.388980704,9,0.147727218,0.034190532,2.051424731,0.353614371,0.348588,8,0.164736122,0.02016129,0.188171573,0.5890625,0.610491616,1.196667817,0.642137311,0.915784565,10.64309465,2.208257834,0.631028232,0.183840338,groupKK,0,2,groupKK.0.2
1477,0.026495726,7.869230769,0.453435965,0.477189477,7,0.159920536,0.033898305,5.220338983,0.407802455,0.426590359,6,0.159790439,0.017137097,0.342741935,0.636029412,0.66875,1.240989675,0.555962854,0.898256934,9.430291723,2.150909091,0.674942358,0.156446753,groupKK,0,2,groupKK.0.2
1478,0.029426129,1.850567495,0.400072956,0.37463662,12,0.124833109,0.035651666,1.200266803,0.339538761,0.339991165,11,0.117948395,0.022177419,0.078852258,0.545454545,0.534179688,1.281238785,0.466770679,0.88521302,14.17495292,0.98387622,0.548155223,0.239835106,groupKK,0,2,groupKK.0.2
1479,0.027594628,2.621489621,0.42069435,0.410323887,10,0.144522145,0.036236119,1.8842782,0.372197922,0.360006519,9,0.128526646,0.018145161,0.113407258,0.631944444,0.6475,1.31003722,0.543161078,0.839045774,11.58722015,1.5925,0.618206522,0.19214375,groupKK,0,2,groupKK.0.2
1480,0.023931624,6.892307692,0.471406145,0.50030525,6,0.159084718,0.029222677,4.237288136,0.416271186,0.44628872,7,0.128142741,0.021169355,0.571572581,0.617559524,0.633101852,1.204978814,0.774004536,0.87360964,11.08111168,1.599089655,0.635544728,0.178436552,groupKK,0,2,groupKK.0.2
1481,0.028815629,2.136477167,0.400633265,0.379449263,10,0.128930365,0.036236119,1.418390415,0.361262985,0.351601888,9,0.103622528,0.021169355,0.084677843,0.595238095,0.604910882,1.263536668,0.445414384,0.906866116,13.30695075,1.329800438,0.567066135,0.220090115,groupKK,0,2,groupKK.0.2
1482,0.027960928,1.6301221,0.382935841,0.372174995,11,0.122027534,0.035651666,1.115897136,0.335509864,0.338820599,10,0.097079391,0.019153226,0.055544355,0.606907895,0.598060345,1.284930622,0.410678222,0.896603447,14.51179009,1.375757188,0.523796708,0.241098083,groupKK,0,2,groupKK.0.2
1483,0.027838828,3.294250901,0.4291016,0.430893338,9,0.147083643,0.0371128,2.375211376,0.379153877,0.357080001,9,0.168146205,0.018145161,0.145160746,0.644097222,0.656250117,1.294424479,0.558155052,0.849255726,11.10445575,2.242771292,0.613912142,0.186633881,groupKK,0,2,groupKK.0.2
1484,0.026251526,3.001415226,0.417173524,0.40906051,9,0.151199532,0.033898305,2.112987458,0.379018118,0.357654529,8,0.158463492,0.019153226,0.15322504,0.615131579,0.641927663,1.304822114,0.577681583,0.834703018,11.40135124,1.948468088,0.613136756,0.194113166,groupKK,0,2,groupKK.0.2
1485,0.028205128,1.748709487,0.400076114,0.372425684,11,0.132425115,0.035651666,1.224035056,0.356348986,0.347376226,11,0.126983966,0.017137097,0.049506673,0.547794118,0.570913462,1.325343153,0.384688441,0.866807414,14.89969269,1.179164995,0.516704336,0.24528852,groupKK,0,2,groupKK.0.2
1486,0.029426129,2.607155067,0.407414163,0.386078932,8,0.142256482,0.03798948,1.838690824,0.37535854,0.343955736,10,0.139358108,0.022177419,0.133064516,0.551136364,0.569791667,1.307421241,0.559100342,0.837229072,13.406701,1.77938843,0.549062762,0.217355372,groupKK,0,2,groupKK.0.2
1487,0.029059829,2.545641026,0.386416105,0.366225099,9,0.145046729,0.037697253,1.801928697,0.330968335,0.297212964,10,0.121241513,0.018145161,0.083467742,0.546875,0.59375,1.30595342,0.433536787,0.87154632,12.92855805,1.801723849,0.564921776,0.212681172,groupKK,0,2,groupKK.0.2
