agonsim.winner,agonsim.loser,agonsim.type,winner.sex,loser.sex,date,observer,focal.individual,data.source
6L3,INFANT,noncontactAgg,Male,NA,2017-05-08,JN,agonsim.winner,focalfollow
97Z,JUVMALE,noncontactAgg,Male,Male,2017-05-08,JN,agonsim.winner,focalfollow
11Z,ADULT MALE,threat,Male,Male,2017-05-09,JN,agonsim.winner,focalfollow
27J,JUVFEMALE,displace,Male,Female,2017-05-09,JN,agonsim.winner,focalfollow
27J,0K8,FearGrm,Male,Female,2017-05-09,JN,agonsim.winner,focalfollow
27N,INFANT,threat,Male,NA,2017-05-09,JN,agonsim.winner,focalfollow
4D8,0J5,threat,Female,Female,2017-05-09,JN,agonsim.winner,focalfollow
94H,JUVMALE,noncontactAgg,Male,Male,2017-05-09,JN,agonsim.winner,focalfollow
9L9,JUVFEMALE,noncontactAgg,Female,Female,2017-05-09,JN,agonsim.winner,focalfollow
0R2,37V,avoid,Male,Female,2017-05-12,JN,agonsim.winner,focalfollow
1R1,JUVFEMALE,contactAgg,Female,Female,2017-05-12,JN,agonsim.winner,focalfollow
46Z,3F5,avoid,Male,Female,2017-05-12,JN,agonsim.winner,focalfollow
4P6,JUVMALE,noncontactAgg,Female,Male,2017-05-15,JN,agonsim.winner,focalfollow
4R3,1C5,avoid,Male,Female,2017-05-15,JN,agonsim.winner,focalfollow
5H4,2C4,threat,Female,Female,2017-05-15,JN,agonsim.winner,focalfollow
5J3,1C7,threat,Male,Female,2017-05-15,JN,agonsim.winner,focalfollow
5J3,UNKJUV,threat,Male,NA,2017-05-15,JN,agonsim.winner,focalfollow
5J3,8I9,displace,Male,Female,2017-05-15,JN,agonsim.winner,focalfollow
6D4,JUVFEMALE,displace,Female,Female,2017-05-15,JN,agonsim.winner,focalfollow
6D4,JUVFEMALE,displace,Female,Female,2017-05-15,JN,agonsim.winner,focalfollow
98Z,JUVFEMALE,noncontactAgg,Male,Female,2017-05-15,JN,agonsim.winner,focalfollow
98Z,9I8,noncontactAgg,Male,Female,2017-05-15,JN,agonsim.winner,focalfollow
1E2,JUVMALE,avoid,Female,Male,2017-05-16,JN,agonsim.winner,focalfollow
1E2,3F5,avoid,Female,Female,2017-05-16,JN,agonsim.winner,focalfollow
2F2,93O,contactAgg,Female,Female,2017-05-16,JN,agonsim.winner,focalfollow
2R0,JUVMALE,displace,Male,Male,2017-05-16,JN,agonsim.winner,focalfollow
6C2,25P,noncontactAgg,Female,Female,2017-05-16,JN,agonsim.winner,focalfollow
6L1,9L9,displace,Female,Female,2017-05-16,JN,agonsim.winner,focalfollow
6L1,9L9,Submit,Female,Female,2017-05-16,JN,agonsim.winner,focalfollow
6L4,5J3,noncontactAgg,Male,Male,2017-05-16,JN,agonsim.winner,focalfollow
6L4,5J3,threat,Male,Male,2017-05-16,JN,agonsim.winner,focalfollow
83Z,3G3,threat,Female,Female,2017-05-16,JN,agonsim.winner,focalfollow
99L,9I8,FearGrm,Male,Female,2017-05-16,JN,agonsim.winner,focalfollow
1P0,JUVMALE,displace,Female,Male,2017-05-17,JN,agonsim.winner,focalfollow
2C4,2F2,avoid,Female,Female,2017-05-17,JN,agonsim.winner,focalfollow
