agonsim.winner,agonsim.loser,agonsim.type,winner.sex,loser.sex,date,observer,focal.individual,data.source
2C4,1C5,avoid,Female,Female,2017-05-17,JN,agonsim.winner,focalfollow
4Q4,UNKJUV,Submit,Female,NA,2017-05-18,JN,agonsim.winner,focalfollow
73Z,37V,avoid,Male,Female,2017-05-22,JN,agonsim.winner,focalfollow
73Z,98Z,displace,Male,Male,2017-05-22,JN,agonsim.winner,focalfollow
97Z,JUVFEMALE,contactAgg,Male,Female,2017-05-22,JN,agonsim.winner,focalfollow
6K6,JUVFEMALE,FearGrm,Female,Female,2017-05-23,JN,agonsim.winner,focalfollow
8I9,JUVFEMALE,avoid,Female,Female,2017-05-23,JN,agonsim.winner,focalfollow
99L,86Z,displace,Male,Female,2017-05-23,JN,agonsim.winner,focalfollow
0Q5,9L9,threat,Female,Female,2017-05-24,JN,agonsim.winner,focalfollow
2C3,7I8,threat,Female,Female,2017-05-24,JN,agonsim.winner,focalfollow
3G3,25P,avoid,Female,Female,2017-05-24,JN,agonsim.winner,focalfollow
46Z,3G3,avoid,Male,Female,2017-05-24,JN,agonsim.winner,focalfollow
46Z,3F5,displace,Male,Female,2017-05-24,JN,agonsim.winner,focalfollow
62R,2J7,contactAgg,Female,Female,2017-05-24,JN,agonsim.winner,focalfollow
7O3,1C7,displace,Male,Female,2017-05-24,JN,agonsim.winner,focalfollow
1C5,UNKJUV,noncontactAgg,Female,NA,2017-05-25,JN,agonsim.winner,focalfollow
27N,JUVFEMALE,avoid,Male,Female,2017-05-25,JN,agonsim.winner,focalfollow
27N,HUMAN,threat,Male,NA,2017-05-25,JN,agonsim.winner,focalfollow
8O9,UNKJUV,threat,Female,NA,2017-05-25,JN,agonsim.winner,focalfollow
56K,ADULTFEMALE,noncontactAgg,Male,Female,2017-05-30,JN,agonsim.winner,focalfollow
5M5,1C5,displace,Female,Female,2017-05-30,JN,agonsim.winner,focalfollow
62R,1E2,avoid,Female,Female,2017-05-30,JN,agonsim.winner,focalfollow
64S,JUVMALE,avoid,Male,Male,2017-05-30,JN,agonsim.winner,focalfollow
6K6,INFANT,noncontactAgg,Female,NA,2017-05-30,JN,agonsim.winner,focalfollow
4F1,INFANT,contactAgg,Female,NA,2017-05-31,JN,agonsim.winner,focalfollow
6A9,JUVMALE,noncontactAgg,Male,Male,2017-05-31,JN,agonsim.winner,focalfollow
6D6,INFANT,contactAgg,Female,NA,2017-05-31,JN,agonsim.winner,focalfollow
6M7,JUVFEMALE,contactAgg,Female,Female,2017-05-31,JN,agonsim.winner,focalfollow
8L3,2J7,displace,Female,Female,2017-05-31,JN,agonsim.winner,focalfollow
1S8,0J5,displace,Male,Female,2017-06-01,JN,agonsim.winner,focalfollow
3R9,UNKJUV,noncontactAgg,Female,NA,2017-06-01,JN,agonsim.winner,focalfollow
51J,JUVFEMALE,FearGrm,Male,Female,2017-06-01,JN,agonsim.winner,focalfollow
51J,1E2,avoid,Male,Female,2017-06-01,JN,agonsim.winner,focalfollow
51J,JUVFEMALE,FearGrm,Male,Female,2017-06-01,JN,agonsim.winner,focalfollow
51J,1E2,noncontactAgg,Male,Female,2017-06-01,JN,agonsim.winner,focalfollow
27J,2J7,avoid,Male,Female,2017-06-05,JN,agonsim.winner,focalfollow
46Z,JUVFEMALE,avoid,Male,Female,2017-06-05,JN,agonsim.winner,focalfollow
46Z,JUVFEMALE,contactAgg,Male,Female,2017-06-05,JN,agonsim.winner,focalfollow
62R,6C2,displace,Female,Female,2017-06-05,JN,agonsim.winner,focalfollow
64S,93O,FearGrm,Male,Female,2017-06-05,JN,agonsim.winner,focalfollow
64S,93O,displace,Male,Female,2017-06-05,JN,agonsim.winner,focalfollow
6A9,JUVFEMALE,displace,Male,Female,2017-06-05,JN,agonsim.winner,focalfollow
6L4,9H9,FearGrm,Male,Male,2017-06-05,JN,agonsim.winner,focalfollow
6L4,1C5,avoid,Male,Female,2017-06-05,JN,agonsim.winner,focalfollow
6L4,JUVFEMALE,avoid,Male,Female,2017-06-05,JN,agonsim.winner,focalfollow
6L4,9H9,FearGrm,Male,Male,2017-06-05,JN,agonsim.winner,focalfollow
8C9,ADULT MALE,threat,Male,Male,2017-06-05,JN,agonsim.winner,focalfollow
8I9,25P,threat,Female,Female,2017-06-05,JN,agonsim.winner,focalfollow
98Z,JUVFEMALE,noncontactAgg,Male,Female,2017-06-05,JN,agonsim.winner,focalfollow
1E2,JUVFEMALE,avoid,Female,Female,2017-06-06,JN,agonsim.winner,focalfollow
1E2,JUVFEMALE,displace,Female,Female,2017-06-06,JN,agonsim.winner,focalfollow
1P5,4L7,avoid,Male,Male,2017-06-06,JN,agonsim.winner,focalfollow
1P5,JUVMALE,avoid,Male,Male,2017-06-06,JN,agonsim.winner,focalfollow
2C4,0J5,displace,Female,Female,2017-06-06,JN,agonsim.winner,focalfollow
37V,6L1,displace,Female,Female,2017-06-06,JN,agonsim.winner,focalfollow
3F5,JUVFEMALE,threat,Female,Female,2017-06-06,JN,agonsim.winner,focalfollow
46Z,JUVMALE,noncontactAgg,Male,Male,2017-06-06,JN,agonsim.winner,focalfollow
5J3,JUVMALE,threat,Male,Male,2017-06-06,JN,agonsim.winner,focalfollow
0K8,1C5,displace,Female,Female,2017-06-07,JN,agonsim.winner,focalfollow
16R,99L,avoid,Male,Male,2017-06-07,JN,agonsim.winner,focalfollow
4R7,JUVMALE,noncontactAgg,Male,Male,2017-06-07,JN,agonsim.winner,focalfollow
5H4,6C2,displace,Female,Female,2017-06-07,JN,agonsim.winner,focalfollow
5H4,7F0,avoid,Female,Female,2017-06-07,JN,agonsim.winner,focalfollow
60R,3F7,displace,Female,Female,2017-06-07,JN,agonsim.winner,focalfollow
60R,3G3,avoid,Female,Female,2017-06-07,JN,agonsim.winner,focalfollow
6L4,6L1,contactAgg,Male,Female,2017-06-07,JN,agonsim.winner,focalfollow
73Z,INFANT,noncontactAgg,Male,NA,2017-06-07,JN,agonsim.winner,focalfollow
7F0,9L9,displace,Female,Female,2017-06-07,JN,agonsim.winner,focalfollow
7I8,JUVFEMALE,displace,Female,Female,2017-06-07,JN,agonsim.winner,focalfollow
6C2,37V,avoid,Female,Female,2017-06-08,JN,agonsim.winner,focalfollow
6C2,9H9,displace,Female,Male,2017-06-08,JN,agonsim.winner,focalfollow
93O,UNKJUV,threat,Female,NA,2017-06-08,JN,agonsim.winner,focalfollow
1P0,8L3,displace,Female,Female,2017-06-09,JN,agonsim.winner,focalfollow
0K8,2C4,FearGrm,Female,Female,2017-06-12,JN,agonsim.winner,focalfollow
1C5,INFANT,threat,Female,NA,2017-06-12,JN,agonsim.winner,focalfollow
2F2,1C7,displace,Female,Female,2017-06-12,JN,agonsim.winner,focalfollow
2F2,JUVFEMALE,displace,Female,Female,2017-06-12,JN,agonsim.winner,focalfollow
3G3,INFANT,contactAgg,Female,NA,2017-06-12,JN,agonsim.winner,focalfollow
46Z,2F2,avoid,Male,Female,2017-06-12,JN,agonsim.winner,focalfollow
6A9,JUVFEMALE,displace,Male,Female,2017-06-12,JN,agonsim.winner,focalfollow
6L3,JUVFEMALE,threat,Male,Female,2017-06-13,JN,agonsim.winner,focalfollow
6L3,JUVFEMALE,contactAgg,Male,Female,2017-06-13,JN,agonsim.winner,focalfollow
0M6,7J7,displace,Female,Female,2017-06-14,JN,agonsim.winner,focalfollow
1C7,ADULT MALE,noncontactAgg,Female,Male,2017-06-14,JN,agonsim.winner,focalfollow
24V,JUVMALE,threat,Female,Male,2017-06-14,JN,agonsim.winner,focalfollow
27N,51J,avoid,Male,Male,2017-06-14,JN,agonsim.winner,focalfollow
3F7,83Z,FearGrm,Female,Female,2017-06-14,JN,agonsim.winner,focalfollow
4D8,JUVFEMALE,avoid,Female,Female,2017-06-14,JN,agonsim.winner,focalfollow
56K,INFANT,threat,Male,NA,2017-06-14,JN,agonsim.winner,focalfollow
6M7,JUVMALE,threat,Female,Male,2017-06-14,JN,agonsim.winner,focalfollow
7F0,JUVFEMALE,contactAgg,Female,Female,2017-06-14,JN,agonsim.winner,focalfollow
3M3,INFANT,threat,Male,NA,2017-06-15,JN,agonsim.winner,focalfollow
3M3,JUVFEMALE,contactAgg,Male,Female,2017-06-15,JN,agonsim.winner,focalfollow
3O7,JUVMALE,avoid,Male,Male,2017-06-15,JN,agonsim.winner,focalfollow
3O7,JUVMALE,noncontactAgg,Male,Male,2017-06-15,JN,agonsim.winner,focalfollow
3O7,JUVMALE,contactAgg,Male,Male,2017-06-15,JN,agonsim.winner,focalfollow
9Q5,JUVMALE,noncontactAgg,Female,Male,2017-06-15,JN,agonsim.winner,focalfollow
27N,JUVMALE,FearGrm,Male,Male,2017-06-19,JN,agonsim.winner,focalfollow
44V,JUVFEMALE,threat,Female,Female,2017-06-19,JN,agonsim.winner,focalfollow
4F1,6L1,displace,Female,Female,2017-06-19,JN,agonsim.winner,focalfollow
6A9,44V,avoid,Male,Female,2017-06-19,JN,agonsim.winner,focalfollow
6A9,5J3,avoid,Male,Male,2017-06-19,JN,agonsim.winner,focalfollow
6L4,JUVMALE,displace,Male,Male,2017-06-19,JN,agonsim.winner,focalfollow
6L4,5J3,contactAgg,Male,Male,2017-06-19,JN,agonsim.winner,focalfollow
6L4,5J3,noncontactAgg,Male,Male,2017-06-19,JN,agonsim.winner,focalfollow
24V,JUVFEMALE,FearGrm,Female,Female,2017-06-21,JN,agonsim.winner,focalfollow
27J,8L3,noncontactAgg,Male,Female,2017-06-21,JN,agonsim.winner,focalfollow
27J,51J,avoid,Male,Male,2017-06-21,JN,agonsim.winner,focalfollow
27J,8L3,displace,Male,Female,2017-06-21,JN,agonsim.winner,focalfollow
2C4,JUVFEMALE,displace,Female,Female,2017-06-21,JN,agonsim.winner,focalfollow
97Z,83Z,displace,Male,Female,2017-06-21,JN,agonsim.winner,focalfollow
27J,JUVFEMALE,displace,Male,Female,2017-06-22,JN,agonsim.winner,focalfollow
27J,6D6,avoid,Male,Female,2017-06-22,JN,agonsim.winner,focalfollow
62R,9I8,FearGrm,Female,Female,2017-06-22,JN,agonsim.winner,focalfollow
6D6,1L1,displace,Female,Female,2017-06-22,JN,agonsim.winner,focalfollow
27J,JUVFEMALE,FearGrm,Male,Female,2017-06-23,JN,agonsim.winner,focalfollow
2J7,86Z,displace,Female,Female,2017-06-23,JN,agonsim.winner,focalfollow
2R0,JUVMALE,threat,Male,Male,2017-06-23,JN,agonsim.winner,focalfollow
97Z,8I9,avoid,Male,Female,2017-06-23,JN,agonsim.winner,focalfollow
97Z,JUVFEMALE,avoid,Male,Female,2017-06-23,JN,agonsim.winner,focalfollow
97Z,1C7,FearGrm,Male,Female,2017-06-23,JN,agonsim.winner,focalfollow
97Z,6D9,avoid,Male,Female,2017-06-23,JN,agonsim.winner,focalfollow
3F5,JUVFEMALE,threat,Female,Female,2017-06-26,JN,agonsim.winner,focalfollow
55J,1C5,displace,Female,Female,2017-06-26,JN,agonsim.winner,focalfollow
62R,83Z,FearGrm,Female,Female,2017-06-26,JN,agonsim.winner,focalfollow
6L3,JUVMALE,noncontactAgg,Male,Male,2017-06-26,JN,agonsim.winner,focalfollow
6L3,9L9,avoid,Male,Female,2017-06-26,JN,agonsim.winner,focalfollow
8I9,UNKJUV,FearGrm,Female,NA,2017-06-26,JN,agonsim.winner,focalfollow
94H,UNKJUV,noncontactAgg,Male,NA,2017-06-26,JN,agonsim.winner,focalfollow
24V,3F5,avoid,Female,Female,2017-06-27,JN,agonsim.winner,focalfollow
24V,51V,avoid,Female,Female,2017-06-27,JN,agonsim.winner,focalfollow
24V,3F7,displace,Female,Female,2017-06-27,JN,agonsim.winner,focalfollow
27J,JUVFEMALE,FearGrm,Male,Female,2017-06-27,JN,agonsim.winner,focalfollow
56K,INFANT,contactAgg,Male,NA,2017-06-27,JN,agonsim.winner,focalfollow
5J3,INFANT,noncontactAgg,Male,NA,2017-06-27,JN,agonsim.winner,focalfollow
97Z,3F5,avoid,Male,Female,2017-06-27,JN,agonsim.winner,focalfollow
11Z,JUVMALE,avoid,Male,Male,2017-06-28,JN,agonsim.winner,focalfollow
83Z,JUVFEMALE,threat,Female,Female,2017-06-28,JN,agonsim.winner,focalfollow
8I9,JUVFEMALE,displace,Female,Female,2017-06-28,JN,agonsim.winner,focalfollow
93O,INFANT,noncontactAgg,Female,NA,2017-06-28,JN,agonsim.winner,focalfollow
3Q9,UNKJUV,noncontactAgg,Male,NA,2017-06-29,JN,agonsim.winner,focalfollow
3Q9,UNKJUV,threat,Male,NA,2017-06-29,JN,agonsim.winner,focalfollow
3R0,1E2,avoid,Female,Female,2017-06-29,JN,agonsim.winner,focalfollow
4M9,INFANT,noncontactAgg,Female,NA,2017-06-29,JN,agonsim.winner,focalfollow
4R3,JUVMALE,avoid,Male,Male,2017-06-29,JN,agonsim.winner,focalfollow
7O3,3G3,threat,Male,Female,2017-06-29,JN,agonsim.winner,focalfollow
2F2,93O,contactAgg,Female,Female,2017-07-03,JN,agonsim.winner,focalfollow
5J3,UNKNOWN,threat,Male,NA,2017-07-03,JN,agonsim.winner,focalfollow
60R,UNKJUV,noncontactAgg,Female,NA,2017-07-03,JN,agonsim.winner,focalfollow
64S,6L4,threat,Male,Male,2017-07-03,JN,agonsim.winner,focalfollow
64S,JUVFEMALE,avoid,Male,Female,2017-07-03,JN,agonsim.winner,focalfollow
64S,JUVMALE,avoid,Male,Male,2017-07-03,JN,agonsim.winner,focalfollow
6L4,JUVMALE,noncontactAgg,Male,Male,2017-07-03,JN,agonsim.winner,focalfollow
6M7,JUVFEMALE,contactAgg,Female,Female,2017-07-03,JN,agonsim.winner,focalfollow
6M7,JUVFEMALE,threat,Female,Female,2017-07-03,JN,agonsim.winner,focalfollow
6M7,1C7,FearGrm,Female,Female,2017-07-03,JN,agonsim.winner,focalfollow
6M7,44V,FearGrm,Female,Female,2017-07-03,JN,agonsim.winner,focalfollow
6M7,8C9,threat,Female,Male,2017-07-03,JN,agonsim.winner,focalfollow
6M7,JUVFEMALE,noncontactAgg,Female,Female,2017-07-03,JN,agonsim.winner,focalfollow
73Z,97Z,displace,Male,Male,2017-07-03,JN,agonsim.winner,focalfollow
2J7,1C5,displace,Female,Female,2017-07-04,JN,agonsim.winner,focalfollow
1E2,9H9,FearGrm,Female,Male,2017-07-05,JN,agonsim.winner,focalfollow
3F5,UNKJUV,noncontactAgg,Female,NA,2017-07-05,JN,agonsim.winner,focalfollow
6L4,JUVMALE,noncontactAgg,Male,Male,2017-07-05,JN,agonsim.winner,focalfollow
0M6,INFANT,contactAgg,Female,NA,2017-07-06,JN,agonsim.winner,focalfollow
1O7,JUVFEMALE,FearGrm,Female,Female,2017-07-06,JN,agonsim.winner,focalfollow
1S8,JUVFEMALE,displace,Male,Female,2017-07-06,JN,agonsim.winner,focalfollow
6M7,JUVMALE,contactAgg,Female,Male,2017-07-06,JN,agonsim.winner,focalfollow
6O7,1C5,avoid,Female,Female,2017-07-06,JN,agonsim.winner,focalfollow
0K8,JUVFEMALE,contactAgg,Female,Female,2017-07-18,JN,agonsim.winner,focalfollow
0K8,86Z,threat,Female,Female,2017-07-18,JN,agonsim.winner,focalfollow
6L4,25P,avoid,Male,Female,2017-07-18,JN,agonsim.winner,focalfollow
76J,JUVMALE,threat,Female,Male,2017-07-18,JN,agonsim.winner,focalfollow
76J,83Z,noncontactAgg,Female,Female,2017-07-18,JN,agonsim.winner,focalfollow
76J,2J7,FearGrm,Female,Female,2017-07-18,JN,agonsim.winner,focalfollow
76J,83Z,threat,Female,Female,2017-07-18,JN,agonsim.winner,focalfollow
11Z,UNKJUV,noncontactAgg,Male,NA,2017-07-20,JN,agonsim.winner,focalfollow
2J7,9I8,avoid,Female,Female,2017-07-20,JN,agonsim.winner,focalfollow
51J,JUVMALE,displace,Male,Male,2017-07-20,JN,agonsim.winner,focalfollow
60R,UNKJUV,noncontactAgg,Female,NA,2017-07-20,JN,agonsim.winner,focalfollow
60R,83Z,displace,Female,Female,2017-07-20,JN,agonsim.winner,focalfollow
24V,INFANT,noncontactAgg,Female,NA,2017-07-25,JN,agonsim.winner,focalfollow
24V,86Z,avoid,Female,Female,2017-07-25,JN,agonsim.winner,focalfollow
24V,JUVFEMALE,contactAgg,Female,Female,2017-07-25,JN,agonsim.winner,focalfollow
73Z,UNKJUV,noncontactAgg,Male,NA,2017-07-25,JN,agonsim.winner,focalfollow
94H,1C5,FearGrm,Male,Female,2017-07-25,JN,agonsim.winner,focalfollow
1S8,JUVMALE,Submit,Male,Male,2017-07-26,JN,agonsim.winner,focalfollow
2O4,JUVMALE,noncontactAgg,Male,Male,2017-07-26,JN,agonsim.winner,focalfollow
16R,46Z,displace,Male,Male,2017-07-28,JN,agonsim.winner,focalfollow
24V,JUVFEMALE,FearGrm,Female,Female,2017-07-31,JN,agonsim.winner,focalfollow
64S,JUVFEMALE,threat,Male,Female,2017-07-31,JN,agonsim.winner,focalfollow
6D9,JUVFEMALE,noncontactAgg,Female,Female,2017-07-31,JN,agonsim.winner,focalfollow
7F0,JUVFEMALE,threat,Female,Female,2017-07-31,JN,agonsim.winner,focalfollow
2J7,9L9,Submit,Female,Female,2017-08-02,JN,agonsim.winner,focalfollow
2J7,JUVFEMALE,noncontactAgg,Female,Female,2017-08-02,JN,agonsim.winner,focalfollow
46Z,64S,displace,Male,Male,2017-08-02,JN,agonsim.winner,focalfollow
46Z,JUVFEMALE,avoid,Male,Female,2017-08-02,JN,agonsim.winner,focalfollow
46Z,4D8,avoid,Male,Female,2017-08-02,JN,agonsim.winner,focalfollow
1E2,ADULTFEMALE,threat,Female,Female,2017-08-03,JN,agonsim.winner,focalfollow
7O3,JUVMALE,noncontactAgg,Male,Male,2017-08-07,JN,agonsim.winner,focalfollow
7O3,6L3,displace,Male,Male,2017-08-07,JN,agonsim.winner,focalfollow
1P0,JUVFEMALE,avoid,Female,Female,2017-08-08,JN,agonsim.winner,focalfollow
1P0,76J,displace,Female,Female,2017-08-08,JN,agonsim.winner,focalfollow
1P4,JUVMALE,avoid,Female,Male,2017-08-08,JN,agonsim.winner,focalfollow
1P4,JUVFEMALE,FearGrm,Female,Female,2017-08-08,JN,agonsim.winner,focalfollow
1P5,JUVMALE,threat,Male,Male,2017-08-08,JN,agonsim.winner,focalfollow
2M4,JUVMALE,noncontactAgg,Male,Male,2017-08-08,JN,agonsim.winner,focalfollow
2R9,INFANT,noncontactAgg,Female,NA,2017-08-08,JN,agonsim.winner,focalfollow
2R9,JUVFEMALE,noncontactAgg,Female,Female,2017-08-08,JN,agonsim.winner,focalfollow
97Z,2C3,noncontactAgg,Male,Female,2017-08-08,JN,agonsim.winner,focalfollow
9N6,JUVFEMALE,avoid,Female,Female,2017-08-08,JN,agonsim.winner,focalfollow
9N6,25P,contactAgg,Female,Female,2017-08-08,JN,agonsim.winner,focalfollow
9N6,0J5,threat,Female,Female,2017-08-08,JN,agonsim.winner,focalfollow
51J,24V,displace,Male,Female,2017-08-09,JN,agonsim.winner,focalfollow
5H4,4D8,FearGrm,Female,Female,2017-08-09,JN,agonsim.winner,focalfollow
83Z,JUVFEMALE,FearGrm,Female,Female,2017-08-09,JN,agonsim.winner,focalfollow
8I9,0J5,displace,Female,Female,2017-08-09,JN,agonsim.winner,focalfollow
94H,6D4,FearGrm,Male,Female,2017-08-09,JN,agonsim.winner,focalfollow
16R,6C2,displace,Male,Female,2017-08-10,JN,agonsim.winner,focalfollow
16R,JUVFEMALE,avoid,Male,Female,2017-08-10,JN,agonsim.winner,focalfollow
3Q3,INFANT,contactAgg,Female,NA,2017-08-10,JN,agonsim.winner,focalfollow
56K,JUVFEMALE,displace,Male,Female,2017-08-10,JN,agonsim.winner,focalfollow
73Z,7I8,avoid,Male,Female,2017-08-10,JN,agonsim.winner,focalfollow
73Z,6A9,avoid,Male,Male,2017-08-10,JN,agonsim.winner,focalfollow
8L3,JUVFEMALE,noncontactAgg,Female,Female,2017-08-10,JN,agonsim.winner,focalfollow
1E2,86Z,displace,Female,Female,2017-08-11,JN,agonsim.winner,focalfollow
76J,JUVFEMALE,threat,Female,Female,2017-08-11,JN,agonsim.winner,focalfollow
2F2,93O,displace,Female,Female,2017-08-14,JN,agonsim.winner,focalfollow
6L4,JUVMALE,displace,Male,Male,2017-08-14,JN,agonsim.winner,focalfollow
73Z,27J,avoid,Male,Male,2017-08-14,JN,agonsim.winner,focalfollow
73Z,JUVMALE,noncontactAgg,Male,Male,2017-08-14,JN,agonsim.winner,focalfollow
16R,INFANT,contactAgg,Male,NA,2017-08-15,JN,agonsim.winner,focalfollow
2J7,JUVFEMALE,FearGrm,Female,Female,2017-08-15,JN,agonsim.winner,focalfollow
2J7,6D9,contactAgg,Female,Female,2017-08-15,JN,agonsim.winner,focalfollow
2J7,0J5,displace,Female,Female,2017-08-15,JN,agonsim.winner,focalfollow
5H4,0J5,contactAgg,Female,Female,2017-08-15,JN,agonsim.winner,focalfollow
5H4,44V,contactAgg,Female,Female,2017-08-15,JN,agonsim.winner,focalfollow
5J3,1C7,threat,Male,Female,2017-08-15,JN,agonsim.winner,focalfollow
5J3,1C7,FearGrm,Male,Female,2017-08-15,JN,agonsim.winner,focalfollow
5J3,JUVFEMALE,displace,Male,Female,2017-08-15,JN,agonsim.winner,focalfollow
94H,JUVMALE,contactAgg,Male,Male,2017-08-15,JN,agonsim.winner,focalfollow
94H,24V,noncontactAgg,Male,Female,2017-08-15,JN,agonsim.winner,focalfollow
1E2,51V,noncontactAgg,Female,Female,2017-08-16,JN,agonsim.winner,focalfollow
24V,INFANT,threat,Female,NA,2017-08-16,JN,agonsim.winner,focalfollow
2C4,INFANT,threat,Female,NA,2017-08-16,JN,agonsim.winner,focalfollow
37V,ADULT MALE,threat,Female,Male,2017-08-16,JN,agonsim.winner,focalfollow
5J3,JUVMALE,displace,Male,Male,2017-08-16,JN,agonsim.winner,focalfollow
6A9,8C9,noncontactAgg,Male,Male,2017-08-16,JN,agonsim.winner,focalfollow
6D9,0J5,avoid,Female,Female,2017-08-16,JN,agonsim.winner,focalfollow
7J7,INFANT,contactAgg,Female,NA,2017-08-16,JN,agonsim.winner,focalfollow
83Z,0J5,avoid,Female,Female,2017-08-16,JN,agonsim.winner,focalfollow
8I9,3F5,avoid,Female,Female,2017-08-16,JN,agonsim.winner,focalfollow
8L3,UNKJUV,contactAgg,Female,NA,2017-08-16,JN,agonsim.winner,focalfollow
98Z,1C7,FearGrm,Male,Female,2017-08-16,JN,agonsim.winner,focalfollow
46Z,JUVFEMALE,noncontactAgg,Male,Female,2017-08-21,JN,agonsim.winner,focalfollow
2J7,JUVMALE,noncontactAgg,Female,Male,2017-08-22,JN,agonsim.winner,focalfollow
5K0,9F9,avoid,Male,Male,2017-08-22,JN,agonsim.winner,focalfollow
6A9,JUVFEMALE,displace,Male,Female,2017-08-22,JN,agonsim.winner,focalfollow
83Z,INFANT,noncontactAgg,Female,NA,2017-08-22,JN,agonsim.winner,focalfollow
24V,JUVFEMALE,contactAgg,Female,Female,2017-08-28,JN,agonsim.winner,focalfollow
4D8,7J7,displace,Female,Female,2017-08-28,JN,agonsim.winner,focalfollow
4D8,6K6,avoid,Female,Female,2017-08-28,JN,agonsim.winner,focalfollow
27J,46Z,displace,Male,Male,2017-08-29,JN,agonsim.winner,focalfollow
27J,6C2,displace,Male,Female,2017-08-29,JN,agonsim.winner,focalfollow
2C3,JUVFEMALE,avoid,Female,Female,2017-08-29,JN,agonsim.winner,focalfollow
2J7,3F5,threat,Female,Female,2017-08-29,JN,agonsim.winner,focalfollow
56K,2J7,noncontactAgg,Male,Female,2017-08-29,JN,agonsim.winner,focalfollow
7I8,7F0,avoid,Female,Female,2017-08-29,JN,agonsim.winner,focalfollow
7J7,JUVFEMALE,avoid,Female,Female,2017-08-29,JN,agonsim.winner,focalfollow
8L3,JUVMALE,contactAgg,Female,Male,2017-08-29,JN,agonsim.winner,focalfollow
97Z,INFANT,noncontactAgg,Male,NA,2017-08-29,JN,agonsim.winner,focalfollow
97Z,JUVFEMALE,noncontactAgg,Male,Female,2017-08-29,JN,agonsim.winner,focalfollow
97Z,INFANT,noncontactAgg,Male,NA,2017-08-29,JN,agonsim.winner,focalfollow
9I8,JUVFEMALE,threat,Female,Female,2017-08-29,JN,agonsim.winner,focalfollow
0M6,JUVFEMALE,contactAgg,Female,Female,2017-08-30,JN,agonsim.winner,focalfollow
51J,JUVFEMALE,threat,Male,Female,2017-08-30,JN,agonsim.winner,focalfollow
51J,JUVFEMALE,noncontactAgg,Male,Female,2017-08-30,JN,agonsim.winner,focalfollow
