id,hrs.focalfollowed
1O9,0.9166666666666666
6L1,1.9166666666666667
83Z,1.9166666666666667
4R4,0.8333333333333334
1M8,0.8333333333333334
6L3,1.8333333333333333
1P0,0.9166666666666666
46Z,1.9166666666666667
51V,1.8333333333333333
6D6,2
7F0,1.8333333333333333
1C5,1.8333333333333333
6A9,1.9166666666666667
6L4,1.9166666666666667
93O,1.8333333333333333
3G3,1.9166666666666667
86Z,1.8333333333333333
0Q5,0.9166666666666666
3M3,0.8333333333333334
3R0,0.8333333333333334
4D8,1.9166666666666667
99L,1.9166666666666667
27N,1.8333333333333333
2J7,1.9166666666666667
6C2,2
1C7,1.75
49V,1.9166666666666667
1L1,1.8333333333333333
24V,2
11Z,1.8333333333333333
1E2,1.9166666666666667
2C3,1.6666666666666667
3F7,1.9166666666666667
62R,1.4166666666666667
2O7,0.9166666666666666
3R9,0.75
4R3,0.9166666666666666
6O7,0.9166666666666666
4F1,1.8333333333333333
8C9,1.8333333333333333
2R0,0.8333333333333334
2F2,1.8333333333333333
3F5,1.8333333333333333
56K,1.9166666666666667
1R1,0.6666666666666666
1R7,0.8333333333333334
3O7,0.75
1P4,0.9166666666666666
3Q3,0.9166666666666666
7I8,1.8333333333333333
2C4,1.9166666666666667
16R,1.8333333333333333
5H4,1.75
94H,1.9166666666666667
5K0,1.8333333333333333
27J,1.75
98Z,1.9166666666666667
9I8,1.9166666666666667
0K8,1.8333333333333333
6D9,1.9166666666666667
8L3,1.75
1P5,0.9166666666666666
2O4,0.8333333333333334
5J3,1.5833333333333333
5M5,0.9166666666666666
64S,1.9166666666666667
6D4,1.75
76J,1.9166666666666667
8I9,1.9166666666666667
9H9,1.9166666666666667
37V,1.9166666666666667
3P5,0.8333333333333334
5P4,0.16666666666666666
2M4,0.8333333333333334
4M9,0.8333333333333334
4P6,0.9166666666666666
1S5,0.8333333333333334
51J,1.8333333333333333
55J,1
6K6,1.75
0R2,0.9166666666666666
4Q4,0.8333333333333334
60R,1.8333333333333333
7Q3,0.9166666666666666
9L9,1.9166666666666667
4M0,0.75
73Z,1.9166666666666667
7J7,1.9166666666666667
9Q5,0.8333333333333334
5Q7,0.9166666666666666
0J5,1.9166666666666667
9N6,0.75
6M7,0.8333333333333334
25P,1.9166666666666667
1S8,0.9166666666666666
44V,1.9166666666666667
1O7,0.9166666666666666
2R9,0.75
3Q9,0.8333333333333334
97Z,1.9166666666666667
8O9,0.8333333333333334
0M6,0.9166666666666666
7O3,1
4R7,0.8333333333333334
3O3,0.08333333333333333
