id,Wdeg_groom
'0J5',157.7161487
'0K8',160.480789
'0M6',287.6542444
'0Q5',93.9977714
'0R2',63.58672771
'11Z',95.38009157
'16R',95.38009157
'1C5',190.7601831
'1C7',230.2550451
'1E2',288.615286
'1L1',221.1712268
'1M8',170.3018447
'1O7',63.58672771
'1O9',221.1712268
'1P0',96.89406127
'1P4',157.5844991
'1P5',0
'1R1',174.8635012
'1R7',30.41104369
'1S5',30.41104369
'1S8',98.55942795
'24V',585.412591
'25P',153.4375386
'27J',166.5366678
'27N',383.7320785
'2C3',130.3527918
'2C4',186.6132226
'2F2',63.58672771
'2J7',597.9605346
'2M4',0
'2O4',0
'2O7',33.30733356
'2R0',0
'2R9',136.0049454
'37V',434.8779247
'3F5',222.553547
'3F7',100.3564442
'3G3',255.1763029
'3M3',69.94540048
'3O7',77.71711165
'3Q9',100.3564442
'3R0',58.28783374
'3R9',60.82208738
'44V',473.5828894
'46Z',211.610179
'49V',430.0332217
'4D8',367.6839996
'4F1',197.4973483
'4M0',0
'4M9',165.4571416
'4P6',348.3446822
'4Q4',231.123932
'4R3',0
'4R4',133.5321282
'4R7',222.0006189
'51J',127.1734554
'51V',192.2741528
'55J',30.41104369
'56K',93.9977714
'5H4',449.040124
'5J3',36.81336868
'5K0',0
'5Q7',127.1734554
'60R',287.6542444
'62R',490.5926553
'64S',30.41104369
'6A9',228.4029439
'6C2',439.1938355
'6D4',484.7336055
'6D6',302.4154491
'6D9',247.5669595
'6K6',65.10069742
'6L1',60.82208738
'6L4',30.41104369
'6M7',103.252734
'73Z',94.12942094
'76J',464.5747697
'7F0',157.5844991
'7I8',190.8918327
'7J7',159.2301184
'7O3',174.8635012
'7Q3',121.6441748
'83Z',448.4257595
'86Z',185.2309025
'8C9',197.1188559
'8I9',278.4607182
'8L3',737.9955047
'8O9',480.4944903
'93O',287.7858939
'94H',207.9185065
'97Z',91.23313106
'98Z',226.279229
'99L',222.553547
'9H9',183.8485823
'9I8',194.4858651
'9L9',182.4662621
'9N6',466.3026699
'9Q5',100.3564442
