"","id","rank","percentrank","rc","sex","year"
"5H4","5H4",1,100,0.815663989256687,"F","2017"
"4Q4","4Q4",2,98.2758620689655,0.491379310344828,"F","2017"
"1P0","1P0",3,96.551724137931,0.612643190912739,"F","2017"
"8L3","8L3",4,94.8275862068966,0.761586838604698,"F","2017"
"24V","24V",5,93.1034482758621,0.738814264540696,"F","2017"
"62R","62R",6,91.3793103448276,0.761326785226628,"F","2017"
"4D8","4D8",7,89.6551724137931,0.609512757741613,"F","2017"
"0K8","0K8",8,87.9310344827586,0.613598771562056,"F","2017"
"3R0","3R0",9,86.2068965517241,0.575316592931252,"F","2017"
"1E2","1E2",10,84.4827586206897,0.711922764680393,"F","2017"
"76J","76J",11,82.7586206896552,0.555954098284237,"F","2017"
"2C3","2C3",12,81.0344827586207,0.609790551449664,"F","2017"
"2J7","2J7",13,79.3103448275862,0.595073038029395,"F","2017"
"0M6","0M6",14,77.5862068965517,0.505369655867284,"F","2017"
"3R9","3R9",15,75.8620689655172,0.491379310344828,"F","2017"
"4F1","4F1",16,74.1379310344828,0.59076166641133,"F","2017"
"7J7","7J7",17,72.4137931034483,0.485778027525257,"F","2017"
"86Z","86Z",18,70.6896551724138,0.56440542134829,"F","2017"
"6M7","6M7",19,68.9655172413793,0.522608101693361,"F","2017"
"2C4","2C4",20,67.2413793103448,0.542359621514145,"F","2017"
"8O9","8O9",21,65.5172413793103,0.491379310344828,"F","2017"
"6D6","6D6",22,63.7931034482759,0.46613848298158,"F","2017"
"60R","60R",23,62.0689655172414,0.510241516442168,"F","2017"
"6K6","6K6",24,60.3448275862069,0.452429931031541,"F","2017"
"6C2","6C2",25,58.6206896551724,0.475764905343642,"F","2017"
"6D9","6D9",26,56.8965517241379,0.451532704631222,"F","2017"
"3Q3","3Q3",27,55.1724137931034,0.491379310344828,"F","2017"
"3F7","3F7",28,53.448275862069,0.477556615737614,"F","2017"
"9Q5","9Q5",29,51.7241379310345,0.438440758261923,"F","2017"
"44V","44V",30,50,0.44380992602942,"F","2017"
"83Z","83Z",31,48.2758620689655,0.412583417504854,"F","2017"
"1O7","1O7",32,46.551724137931,0.491379310344828,"F","2017"
"2F2","2F2",33,44.8275862068966,0.36564882398037,"F","2017"
"4M9","4M9",34,43.1034482758621,0.447787352154965,"F","2017"
"7I8","7I8",35,41.3793103448276,0.486903893903181,"F","2017"
"3G3","3G3",36,39.6551724137931,0.395014590398496,"F","2017"
"6O7","6O7",37,37.9310344827586,0.463401747802617,"F","2017"
"4P6","4P6",38,36.2068965517241,0.491379310344828,"F","2017"
"37V","37V",39,34.4827586206897,0.439335973961963,"F","2017"
"8I9","8I9",40,32.7586206896552,0.401282007342021,"F","2017"
"7F0","7F0",41,31.0344827586207,0.454053690002137,"F","2017"
"93O","93O",42,29.3103448275862,0.380857897997283,"F","2017"
"3F5","3F5",43,27.5862068965517,0.358252204625335,"F","2017"
"2R9","2R9",44,25.8620689655172,0.4018434840028,"F","2017"
"9I8","9I8",45,24.1379310344828,0.391173971459954,"F","2017"
"6L1","6L1",46,22.4137931034483,0.414099278390657,"F","2017"
"6D4","6D4",47,20.6896551724138,0.440792961485037,"F","2017"
"1C7","1C7",48,18.9655172413793,0.33827293215421,"F","2017"
"9N6","9N6",49,17.2413793103448,0.47739018693602,"F","2017"
"51V","51V",50,15.5172413793103,0.437434710527179,"F","2017"
"1R1","1R1",51,13.7931034482759,0.439168618096811,"F","2017"
"1P4","1P4",52,12.0689655172414,0.454782133835613,"F","2017"
"0Q5","0Q5",53,10.3448275862069,0.438441640696027,"F","2017"
"55J","55J",54,8.62068965517241,0.447788232043853,"F","2017"
"5M5","5M5",55,6.89655172413793,0.365247085263079,"F","2017"
"9L9","9L9",56,5.17241379310345,0.339456618758286,"F","2017"
"1C5","1C5",57,3.44827586206897,0.287815009348536,"F","2017"
"25P","25P",58,1.72413793103448,0.384494697220915,"F","2017"
