Row,0J5,0K8,0M6,0Q5,1C5,1C7,1E2,1L1,1O7,1O9,1P0,1P4,1R1,24V,25P,2C3,2C4,2F2,2J7,2O7,2R9,37V,3F5,3F7,3G3,3R0,3R9,44V,49V,4D8,4F1,4M9,4P6,4Q4,4R4,51V,55J,5H4,5Q7,60R,62R,6C2,6D4,6D6,6D9,6K6,6L1,6M7,76J,7F0,7I8,7J7,7Q3,83Z,86Z,8I9,8L3,8O9,93O,9I8,9L9,9N6,9Q5
5Q7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.1469352536734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5734676268367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79.8734625512483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6C2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.7180239825339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.859011991267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.859011991267,0,0,18.859011991267,0,0,0,0,0,0
6D4,0,0,21.5531565614479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5531565614479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5531565614479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.1063131228959,21.5531565614479,0,0,0
6D6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.859011991267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6D9,0,0,0,0,0,0,0,19.6789690343655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6789690343655,0,0,0,0,0,0,19.6789690343655,0,19.6789690343655,0,0,0,0,19.6789690343655,0,0,0,0,0,0,0
6K6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5531565614479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6L1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6M7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.2616287790407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
