id,eigen_pr
'03Z',0.006824939
'0B9',0.042093297
'0G3',0.016071357
'0K1',4.39E-07
'0M2',0.004531989
'16S',0.018246364
'1B7',0.020970524
'1G8',0.000429593
'1Q8',0.003307574
'20S',0.045027495
'22H',0.02139702
'2C0',0.029647279
'2C7',0.00659915
'2E8',0.019696202
'2E9',0.004279564
'36O',0.008744992
'3A6',0.001864213
'3A9',0.017020422
'3L5',0.00055902
'3L6',0.011204847
'3N4',0.00487247
'3P2',0.000566651
'3P7',0.004866441
'41N',0.023197522
'43N',0.033807992
'48V',0.030564534
'49Z',0.002191626
'4C6',0.00401143
'4I9',0.002880474
'4J0',0.007907775
'4J3',0.054138318
'4J6',0.013660892
'4L8',0.003063091
'4N5',0.004675118
'4N7',0.002663467
'4N8',0.00555458
'50P',0.001556291
'55R',0.015935368
'56R',0.012181062
'5B6',0.049694955
'5H7',0.001037771
'5I9',0.014873043
'5J6',0.009036398
'5N1',0.005386238
'5P6',0.024548177
'60T',0.005017155
'62S',0.035292592
'65Z',0.013165515
'6B4',0.013974629
'6H6',0.043194181
'6I4',0.008080617
'77S',0.04960236
'7E0',0.01977867
'7E3',0.03821106
'7L0',0.003031907
'7L7',0.012409293
'80S',0.0163461
'8E2',0.022888352
'8K7',0.006220234
'8L6',9.72E-06
'94O',0.040777753
'94S',0.0093499
'9C6',0.002682888
'9I5',0.017456654
'9I7',0.00594952
'9N0',0.004677327
'9O0',0.014285714
'9P5',0.003927307
'9P6',0.000105438
'V80',0.002177143
